"V1"	"V2"	"V3"	"V4"
"Poa_tri"	"Tri_rep"	"Car_hir"	"6.3102541630149"
"Poa_tri"	"Tri_rep"	"Bra_pin"	"1.13935144609991"
"Poa_tri"	"Tri_rep"	"Pha_aru"	"2.8045574057844"
"Poa_tri"	"Tar_off"	"Lol_per"	"39.2638036809816"
"Poa_tri"	"Tar_off"	"Arr_ela"	"24.8028045574058"
"Poa_tri"	"Tar_off"	"Fes_rub"	"20.5083260297984"
"Poa_tri"	"Tar_off"	"Fes_pra"	"35.056967572305"
"Poa_tri"	"Tar_off"	"Tri_fla"	"26.7309377738826"
"Poa_tri"	"Tar_off"	"Ely_rep"	"30.4119193689746"
"Poa_tri"	"Tar_off"	"Tri_pra"	"38.2997370727432"
"Poa_tri"	"Tar_off"	"Ran_rep"	"31.8141980718668"
"Poa_tri"	"Tar_off"	"Bro_ere"	"2.19106047326906"
"Poa_tri"	"Tar_off"	"Ran_acr"	"27.5197195442594"
"Poa_tri"	"Tar_off"	"Bro_hor"	"28.045574057844"
"Poa_tri"	"Tar_off"	"Pla_lan"	"39.3514460999124"
"Poa_tri"	"Tar_off"	"Ant_syl"	"27.7826468010517"
"Poa_tri"	"Tar_off"	"Her_sph"	"28.1332164767748"
"Poa_tri"	"Tar_off"	"Gal_mol"	"28.045574057844"
"Poa_tri"	"Tar_off"	"Hol_lan"	"17.0026292725679"
"Poa_tri"	"Tar_off"	"Hel_pub"	"8.93952673093777"
"Poa_tri"	"Tar_off"	"Car_hir"	"10.692375109553"
"Poa_tri"	"Tar_off"	"Bra_pin"	"1.22699386503067"
"Poa_tri"	"Tar_off"	"Pha_aru"	"5.69675723049956"
"Poa_tri"	"Lol_per"	"Arr_ela"	"11.4811568799299"
"Poa_tri"	"Lol_per"	"Fes_rub"	"11.0429447852761"
"Poa_tri"	"Lol_per"	"Fes_pra"	"20.6836108676599"
"Poa_tri"	"Lol_per"	"Tri_fla"	"18.1419807186678"
"Poa_tri"	"Lol_per"	"Ely_rep"	"18.2296231375986"
"Poa_tri"	"Lol_per"	"Tri_pra"	"28.6590709903593"
"Poa_tri"	"Lol_per"	"Ran_rep"	"17.2655565293602"
"Poa_tri"	"Lol_per"	"Bro_ere"	"0.876424189307625"
"Poa_tri"	"Lol_per"	"Ran_acr"	"18.9307624890447"
"Poa_tri"	"Lol_per"	"Bro_hor"	"21.9982471516214"
"Poa_tri"	"Lol_per"	"Pla_lan"	"28.8343558282209"
"Poa_tri"	"Lol_per"	"Ant_syl"	"18.8431200701139"
"Poa_tri"	"Lol_per"	"Her_sph"	"16.5644171779141"
"Poa_tri"	"Lol_per"	"Gal_mol"	"17.703768624014"
"Poa_tri"	"Lol_per"	"Hol_lan"	"6.74846625766871"
"Poa_tri"	"Lol_per"	"Hel_pub"	"5.25854513584575"
"Poa_tri"	"Lol_per"	"Car_hir"	"2.01577563540754"
"Poa_tri"	"Lol_per"	"Bra_pin"	"0.788781770376862"
"Poa_tri"	"Lol_per"	"Pha_aru"	"0.7011393514461"
"Poa_tri"	"Arr_ela"	"Fes_rub"	"11.9193689745837"
"Poa_tri"	"Arr_ela"	"Fes_pra"	"17.353198948291"
"Poa_tri"	"Arr_ela"	"Tri_fla"	"15.512708150745"
"Poa_tri"	"Arr_ela"	"Ely_rep"	"11.4811568799299"
"Poa_tri"	"Arr_ela"	"Tri_pra"	"16.4767747589833"
"Poa_tri"	"Arr_ela"	"Ran_rep"	"10.4294478527607"
"Poa_tri"	"Arr_ela"	"Bro_ere"	"1.57756354075372"
"Poa_tri"	"Arr_ela"	"Ran_acr"	"12.4452234881683"
"Poa_tri"	"Arr_ela"	"Bro_hor"	"11.6564417177914"
"Poa_tri"	"Arr_ela"	"Pla_lan"	"15.6879929886065"
"Poa_tri"	"Arr_ela"	"Ant_syl"	"15.1621384750219"
"Poa_tri"	"Arr_ela"	"Her_sph"	"14.1980718667835"
"Poa_tri"	"Arr_ela"	"Gal_mol"	"16.3014899211218"
"Poa_tri"	"Arr_ela"	"Hol_lan"	"8.85188431200701"
"Poa_tri"	"Arr_ela"	"Hel_pub"	"5.6091148115688"
"Poa_tri"	"Arr_ela"	"Car_hir"	"4.03155127081507"
"Poa_tri"	"Arr_ela"	"Bra_pin"	"0.613496932515337"
"Poa_tri"	"Arr_ela"	"Pha_aru"	"2.01577563540754"
"Poa_tri"	"Fes_rub"	"Fes_pra"	"16.0385626643295"
"Poa_tri"	"Fes_rub"	"Tri_fla"	"13.4092900964067"
"Poa_tri"	"Fes_rub"	"Ely_rep"	"7.44960560911481"
"Poa_tri"	"Fes_rub"	"Tri_pra"	"14.8115687992989"
"Poa_tri"	"Fes_rub"	"Ran_rep"	"9.29009640666082"
"Poa_tri"	"Fes_rub"	"Bro_ere"	"2.19106047326906"
"Poa_tri"	"Fes_rub"	"Ran_acr"	"11.3058720420684"
"Poa_tri"	"Fes_rub"	"Bro_hor"	"7.27432077125329"
"Poa_tri"	"Fes_rub"	"Pla_lan"	"14.1980718667835"
"Poa_tri"	"Fes_rub"	"Ant_syl"	"8.32602979842244"
"Poa_tri"	"Fes_rub"	"Her_sph"	"7.88781770376862"
"Poa_tri"	"Fes_rub"	"Gal_mol"	"14.022787028922"
"Poa_tri"	"Fes_rub"	"Hol_lan"	"8.58895705521472"
"Poa_tri"	"Fes_rub"	"Hel_pub"	"6.57318141980719"
