"V1"	"V2"	"V3"
"Lol_per"	"Tri_pra"	"37.3356704645048"
"Lol_per"	"Ran_rep"	"20.9465381244522"
"Lol_per"	"Bro_ere"	"1.31463628396144"
"Lol_per"	"Ran_acr"	"21.6476774758983"
"Lol_per"	"Bro_hor"	"30.9377738825592"
"Lol_per"	"Pla_lan"	"41.1042944785276"
"Lol_per"	"Ach_mil"	"31.9894829097283"
"Lol_per"	"Ant_syl"	"22.1735319894829"
"Lol_per"	"Her_sph"	"19.193689745837"
"Lol_per"	"Gal_mol"	"23.2252410166521"
"Lol_per"	"Hol_lan"	"9.55302366345311"
"Lol_per"	"Hel_pub"	"7.18667835232252"
"Lol_per"	"Car_hir"	"2.45398773006135"
"Lol_per"	"Bra_pin"	"0.964066608238387"
"Arr_ela"	"Fes_rub"	"22.6117440841367"
"Arr_ela"	"Fes_pra"	"27.0815074496056"
"Arr_ela"	"Tri_fla"	"23.0499561787905"
"Arr_ela"	"Ely_rep"	"18.1419807186678"
"Arr_ela"	"Tri_pra"	"25.9421560035057"
"Arr_ela"	"Ran_rep"	"12.3575810692375"
"Arr_ela"	"Bro_ere"	"5.43382997370727"
"Arr_ela"	"Ran_acr"	"16.6520595968449"
"Arr_ela"	"Bro_hor"	"17.353198948291"
"Arr_ela"	"Pla_lan"	"27.5197195442594"
"Arr_ela"	"Ach_mil"	"23.1375985977213"
"Arr_ela"	"Ant_syl"	"19.54425942156"
"Arr_ela"	"Her_sph"	"16.3891323400526"
"Arr_ela"	"Gal_mol"	"26.9938650306748"
"Arr_ela"	"Hol_lan"	"13.4092900964067"
"Arr_ela"	"Hel_pub"	"11.3058720420684"
"Arr_ela"	"Car_hir"	"4.46976336546889"
"Arr_ela"	"Bra_pin"	"3.33041191936897"
"Fes_rub"	"Fes_pra"	"27.7826468010517"
"Fes_rub"	"Tri_fla"	"22.7870289219982"
"Fes_rub"	"Ely_rep"	"15.2497808939527"
"Fes_rub"	"Tri_pra"	"26.9062226117441"
"Fes_rub"	"Ran_rep"	"11.7440841367222"
"Fes_rub"	"Bro_ere"	"6.3102541630149"
"Fes_rub"	"Ran_acr"	"17.1779141104294"
"Fes_rub"	"Bro_hor"	"14.1104294478528"
"Fes_rub"	"Pla_lan"	"29.535495179667"
"Fes_rub"	"Ach_mil"	"25.7668711656442"
"Fes_rub"	"Ant_syl"	"12.0946538124452"
"Fes_rub"	"Her_sph"	"10.34180543383"
"Fes_rub"	"Gal_mol"	"26.0297984224365"
"Fes_rub"	"Hol_lan"	"14.1980718667835"
"Fes_rub"	"Hel_pub"	"13.8475021910605"
"Fes_rub"	"Car_hir"	"4.29447852760736"
"Fes_rub"	"Bra_pin"	"3.68098159509202"
"Fes_pra"	"Tri_fla"	"27.3444347063979"
"Fes_pra"	"Ely_rep"	"24.5398773006135"
"Fes_pra"	"Tri_pra"	"35.9333917616126"
"Fes_pra"	"Ran_rep"	"22.1735319894829"
"Fes_pra"	"Bro_ere"	"5.95968448729185"
"Fes_pra"	"Ran_acr"	"21.8229623137599"
"Fes_pra"	"Bro_hor"	"21.1218229623138"
"Fes_pra"	"Pla_lan"	"36.1086765994741"
"Fes_pra"	"Ach_mil"	"30.2366345311131"
"Fes_pra"	"Ant_syl"	"21.8229623137599"
"Fes_pra"	"Her_sph"	"19.9824715162138"
"Fes_pra"	"Gal_mol"	"31.5512708150745"
"Fes_pra"	"Hol_lan"	"15.4250657318142"
"Fes_pra"	"Hel_pub"	"13.0587204206836"
"Fes_pra"	"Car_hir"	"6.22261174408414"
"Fes_pra"	"Bra_pin"	"4.38212094653812"
"Tri_fla"	"Ely_rep"	"9.64066608238387"
"Tri_fla"	"Tri_pra"	"32.8659070990359"
"Tri_fla"	"Ran_rep"	"8.32602979842244"
"Tri_fla"	"Bro_ere"	"5.87204206836109"
"Tri_fla"	"Ran_acr"	"26.555652936021"
"Tri_fla"	"Bro_hor"	"16.2138475021911"
"Tri_fla"	"Pla_lan"	"31.9018404907975"
"Tri_fla"	"Ach_mil"	"22.874671340929"
"Tri_fla"	"Ant_syl"	"22.6117440841367"
"Tri_fla"	"Her_sph"	"18.9307624890447"
"Tri_fla"	"Gal_mol"	"31.2883435582822"
"Tri_fla"	"Hol_lan"	"7.7125328659071"
"Tri_fla"	"Hel_pub"	"15.1621384750219"
"Tri_fla"	"Car_hir"	"0.0876424189307625"
"Tri_fla"	"Bra_pin"	"3.59333917616126"
"Ely_rep"	"Tri_pra"	"23.2252410166521"
"Ely_rep"	"Ran_rep"	"22.3488168273444"
"Ely_rep"	"Bro_ere"	"1.92813321647677"
"Ely_rep"	"Ran_acr"	"7.36196319018405"
"Ely_rep"	"Bro_hor"	"22.524101665206"
"Ely_rep"	"Pla_lan"	"30.7624890446976"
"Ely_rep"	"Ach_mil"	"26.7309377738826"
"Ely_rep"	"Ant_syl"	"12.7081507449606"
"Ely_rep"	"Her_sph"	"12.2699386503067"
"Ely_rep"	"Gal_mol"	"15.512708150745"
"Ely_rep"	"Hol_lan"	"13.0587204206836"
