"Omega"	"theta"	"feasibility"	"treatment"	"combos"
1.11494757110182	163.623991825184	0	0.5	"Poa_tri_Alo_pra"
1.13886209003744	144.507401195026	0	0.5	"Poa_tri_Dac_glo"
0.800931508099759	151.685860862631	0	0.5	"Poa_tri_Arr_ela"
0.984666647520592	154.657085966461	0	0.5	"Poa_tri_Fes_rub"
0.954360315118503	173.704503174638	0	0.5	"Poa_tri_Fes_pra"
1.03746409119654	135.67294090964	0	0.5	"Poa_tri_Tri_pra"
0.932346042666374	171.028859183998	0	0.5	"Poa_tri_Ran_rep"
1.07205187526304	146.666839380914	0	0.5	"Poa_tri_Bro_ere"
1.17052682787471	129.330391084109	0	0.5	"Poa_tri_Bro_hor"
0.712603276904439	163.356844779972	0	0.5	"Poa_tri_Pla_lan"
0.907666620613274	140.85783106288	0	0.5	"Poa_tri_Ach_mil"
1.56600598228248	110.79903332351	0	0.5	"Poa_tri_Her_sph"
0.593138834879781	158.776809179914	0	0.5	"Poa_tri_Gal_mol"
1.01468667959012	145.605573270081	0	0.5	"Poa_tri_Hol_lan"
0.802757803854013	159.488293921778	0	0.5	"Poa_tri_Hel_pub"
0.774006694247801	160.72164030661	0	0.5	"Poa_tri_Car_hir"
0.813643877497715	175.265784404496	0	0.5	"Poa_tri_Bra_pin"
1.0504447534349	160.153444227629	0	0.5	"Alo_pra_Dac_glo"
1.18407815676719	143.24570846608	0	0.5	"Alo_pra_Arr_ela"
0.964335371896977	164.280840575327	0	0.5	"Alo_pra_Fes_rub"
0.959876034967987	173.736432913568	0	0.5	"Alo_pra_Fes_pra"
0.923760925234065	146.47842791078	0	0.5	"Alo_pra_Tri_pra"
0.891792946423124	161.669212408178	0	0.5	"Alo_pra_Ran_rep"
1.14542901904577	144.734665329495	0	0.5	"Alo_pra_Bro_ere"
1.19054960935023	129.111428418218	0	0.5	"Alo_pra_Bro_hor"
1.07836824718729	155.197986426378	0	0.5	"Alo_pra_Pla_lan"
1.06634108165486	138.689196172016	0	0.5	"Alo_pra_Ach_mil"
0.366124813104796	164.606356738756	0	0.5	"Alo_pra_Her_sph"
0.872196444786309	146.81665535697	0	0.5	"Alo_pra_Gal_mol"
0.864135749153798	153.938639559719	0	0.5	"Alo_pra_Hol_lan"
0.818926898082232	167.128094042674	0	0.5	"Alo_pra_Hel_pub"
1.01963207123451	159.829301906024	0	0.5	"Alo_pra_Car_hir"
0.92222379483217	176.940004190393	0	0.5	"Alo_pra_Bra_pin"
1.13390669076946	149.485200975902	0	0.5	"Dac_glo_Arr_ela"
0.662401170867753	164.887184893637	0	0.5	"Dac_glo_Fes_rub"
1.17212552910252	149.907973948603	0	0.5	"Dac_glo_Fes_pra"
1.06315050340286	157.894388541564	0	0.5	"Dac_glo_Tri_pra"
0.856573306846415	153.966794007195	0	0.5	"Dac_glo_Ran_rep"
0.983308001192332	159.273148897227	0	0.5	"Dac_glo_Bro_ere"
0.93504027825661	138.862059186478	0	0.5	"Dac_glo_Bro_hor"
