"Poa_tri"	"Poa_pra"	"Alo_pra"	"Dac_glo"	"Tri_rep"	"Tar_sp"	"Lol_per"	"Arr_ela"	"Fes_rub"	"Fes_pra"	"Tri_fla"	"Ely_rep"	"Tri_pra"	"Ran_rep"	"Bro_ere"	"Ran_acr"	"Bro_hor"	"Pla_lan"	"Ach_mil"	"Ant_syl"	"Her_sph"	"Gal_mol"	"Hol_lan"	"Hel_pub"	"Car_hir"	"Bra_pin"
"Poa_tri"	-0.88953194734189	0.0488725130354693	0.0775458670803614	0.113459027403803	0.0984879800011835	-0.13304065363857	-0.170152203217239	-0.139102076860534	-0.0122615289542066	-0.117202685732064	-0.290325480481472	0.103565661167801	0.239307528231485	-0.0299464910651361	-0.0273123245128227	0.417193651415943	-0.149910837758866	-0.285801129976121	-0.0677314765952372	-0.815988838031612	0.394606388820094	0.191677539647516	-0.0974941862947536	-0.100440338633273	-1.22086313445055	-0.0432148407178496
"Poa_pra"	0.207844542572813	-0.677522158315658	0.0818502413918888	-0.000603967757015125	0.0595369798832849	0.303708579003103	0.183525270026514	0.0732218541369987	0.0758485501250372	0.283073268931107	0.121267948288286	0.147230293853963	0.414815547979052	0.111622434405347	0.0610015443298439	-0.043477933399094	0.206187295667701	0.594932874527255	0.0219363964637263	0.0112203339272967	-0.147567709705383	0.234857827021584	0.523729204051714	0.0281616759857392	0.349549501658925	0.075119327518519
"Alo_pra"	0.0311936128974488	-0.0773304421294819	-0.684667240190999	0.00161736489271599	-0.0114017974880319	0.0108320326716968	-0.0109796785800612	0.0252753052362544	0.018002132126048	-0.0709560687825021	0.264402241223172	0.051441479723659	-0.150542486720584	0.274438320651917	0.051096683836665	0.445202573943644	0.0831541947954779	0.240659426515969	0.0822348164147702	-0.123711711112763	-0.782842781231662	-0.109650897278635	-0.290362326469964	-0.173668918628012	-0.205631729097418	0.00191720893994734
"Dac_glo"	0.00432191326800769	-0.0248152387715542	0.0618896609582048	-0.223087012595306	0.196751945678049	0.0790642828986601	0.0630081868627547	0.119325902899617	-0.121713123432424	0.0178847020440504	-0.464061637450017	-0.0105340502353904	0.000611400981489325	0.0211220389460484	0.0510558023552598	-0.0812868679778153	0.461001180914837	-0.522972574416334	-0.12276170222815	-0.384462221910542	0.293500558143077	0.43149002591259	0.0915307522199154	0.249048414376062	0.459068827471844	-0.0711750423621408
"Tri_rep"	0.116424615657889	0.237306126197291	0.0905845779515062	0.135998559379633	-0.641011267293593	0.246782243842045	0.370326699349991	0.14956603934258	0.22053580533573	0.126343253053639	0.267856805472691	0.00226327469523822	-0.21557125242812	0.194098279046447	0.15690127444803	0.558335991105973	-0.00205053015629069	0.347053688104772	0.09101328723144	0.16957124167637	0.208704622489169	-0.087954909558324	0.0834019038852497	-0.0478606729879252	0.179089944787431	0.19017388425334
"Tar_sp"	0.0537330498994412	0.0681922326958403	0.0989261425798132	0.216721199366444	0.296690334507349	-0.707414179740394	0.132131719961712	0.0311777859841871	-0.0594123339820516	0.293648645980153	0.115698656716817	0.0890737770197088	0.130111598291922	0.0934795842641991	0.0778423610873859	-0.253743089925631	0.0362891572116086	0.257160546413938	0.304680973841948	0.336673877615228	-0.081057027262177	0.101511943375483	0.0389803783292827	0.129302145053087	-0.10475599229425	0.13688714583131
"Lol_per"	-0.0168113533473839	-0.0626237773098912	0.0504995319079736	0.127355514695018	-0.0408563540052016	0.185061965866956	-0.362250671189816	-0.0189952059138368	0.0126575367882939	-0.00335379149103182	0.0107432164072095	-0.154653200024919	0.138788282617221	-0.0364095650361817	0.0416773858835054	-0.0772138057581377	0.123442655123335	0.0536727544909815	0.286722971013732	-0.0751571795414301	0.423232615027594	-0.122682842590704	0.0829707807967955	0.0458714047215753	0.319503132580948	-0.0205534612273671
"Arr_ela"	0.0553424733586541	0.0712611033289513	0.0338062009239785	-0.0469949354284279	-0.016294862458084	0.0177701837760819	-0.0602403525865797	-0.326758123109192	-0.0569767592298157	-0.0665957877553978	-0.0156793898653908	-0.0619519670510299	-0.450697285676042	-0.0819221738650121	-0.0118259044727756	0.597319873537768	-0.186214138405195	0.176533653220385	0.163733764817057	0.308298988745626	0.12597132998401	-0.179011896070463	0.139263902505601	-0.18508171063459	-0.0877972131703832	-0.082504609724528
"Fes_rub"	-0.00176086283120868	0.0310839710353826	0.0281454750226575	0.0464235674649284	-0.0514783346071309	-0.00168143081982645	0.0366465632000263	0.0496112496929429	-0.212738447454747	0.0734177783228524	0.128404333680685	-0.00972205418235066	0.180640967289879	0.0583731322023029	0.00868116074814399	0.181580374538446	0.14561411039476	0.411691210565158	-0.129391244841535	0.0354643077795354	-0.0782384904915168	0.030307583080904	0.0201690344340707	0.268435873090791	0.153505672846978	0.195597764057724
"Fes_pra"	0.0456144844871307	0.104970470443374	0.00955136705689583	0.124393467530207	0.0455298062302612	0.103126376514432	0.00136245713259464	-0.0528708329427356	0.00404817063906781	-1.11259716722797	0.114268290484689	-0.00296949045101325	0.164454021691821	0.134809357561262	0.025770879065371	0.0916359882260335	0.002811290511056	0.242099554601944	0.202289547817936	0.159441567583344	-0.093075803429949	0.48300825912059	0.125286412747223	0.111428017106848	-0.104071868662075	0.16052749737165
