"","Intrinsic","LUI"
"Poa_tri",0.0293641088477744,0.0326410039803431
"Poa_pra",-0.0644356911950505,0.0893569319819234
"Alo_pra",0.0233390655905339,0.0105034801680157
"Dac_glo",0.0191456456472082,-0.00951533102185631
"Tri_rep",-0.0273276352061965,0.0274243633641344
"Tar_off",-0.0323971949916228,0.0343756163187921
"Lol_per",-0.0291498655653113,0.0325429470162661
"Arr_ela",0.0027508751791665,0.00332034340431839
"Fes_rub",0.0122269940162812,0.00867218045880937
"Fes_pra",0.0360103238204841,0.000177719786106801
"Tri_fla",-0.0102252808524138,0.00973654559006659
"Ely_rep",-0.00375805496256336,0.0032879735566119
"Tri_pra",0.000304697377714622,0.00832373277186926
"Ran_rep",0.0772479118552462,-0.028695669272844
"Bro_ere",0.0047837715810956,0.00512475210163097
"Ran_acr",-0.0121985849989198,0.0172004785270263
"Bro_hor",0.000286681804310803,0.000254644195629451
"Pla_lan",0.0131672829295436,-1.31328744261092e-05
"Ach_mil",0.00372650498947756,-0.0013404508755159
"Ant_syl",-0.00538316420757506,0.00137677074865977
"Her_sph",0.000386217074402086,0.000957423657555185
"Gal_mol",0.00477759836204125,-0.00323632323269705
"Hol_lan",0.00694116785558168,-0.00140810531919818
"Hel_pub",0.0184385621054928,-0.0093771367087071
"Car_hir",0.0187231269051329,-0.0094475521932984
"Bra_pin",0.0414171712414553,-0.0194803066285181
