"species","LUI","observed","presence"
"Arr_ela",1.5,80,1
"Fes_rub",1.5,78,1
"Fes_pra",1.5,100,1
"Tri_fla",1.5,62,1
"Ely_rep",1.5,107,1
"Tri_pra",1.5,122,1
"Ran_rep",1.5,97,1
"Bro_ere",1.5,15,1
"Ran_acr",1.5,66,1
"Bro_hor",1.5,98,1
"Pla_lan",1.5,134,1
"Ach_mil",1.5,112,1
"Ant_syl",1.5,70,1
"Her_sph",1.5,64,1
"Gal_mol",1.5,80,1
"Hol_lan",1.5,61,1
"Hel_pub",1.5,25,1
"Car_hir",1.5,27,1
"Bra_pin",1.5,10,1
"Pha_aru",1.5,19,1
"Ant_odo",1.5,25,1
"Ver_cha",1.5,102,1
"Fes_ovi",1.5,15,1
"Rum_ace",1.5,59,1
"Des_ces",1.5,17,1
"Phl_pra",1.5,70,1
"Agr_sto",1.5,24,1
"Cyn_cri",1.5,36,1
"Cir_ole",1.5,22,1
"Cre_bie",1.5,55,1
"Cer_hol",1.5,173,1
"Pla_med",1.5,33,1
"Thy_pul",1.5,13,1
"Urt_dio",1.5,31,1
"Lol_mul",1.5,20,1
"Cir_arv",1.5,70,1
"Ran_bul",1.5,67,1
"Tri_dub",1.5,50,1
"Lot_cor",1.5,38,1
"Car_car",1.5,24,1
"Leo_his",1.5,13,1
"Vic_sep",1.5,48,1
"Med_lup",1.5,40,1
"Poa_tri",1.75,100,1
"Poa_pra",1.75,105,1
"Alo_pra",1.75,78,1
"Dac_glo",1.75,114,1
"Tri_rep",1.75,105,1
"Tar_sp",1.75,128,1
"Lol_per",1.75,89,1
"Arr_ela",1.75,41,1
"Fes_rub",1.75,32,1
"Fes_pra",1.75,64,1
"Tri_fla",1.75,60,1
"Ely_rep",1.75,53,1
"Tri_pra",1.75,81,1
"Ran_rep",1.75,56,1
"Bro_ere",1.75,4,1
"Ran_acr",1.75,60,1
"Bro_hor",1.75,61,1
"Pla_lan",1.75,82,1
"Ach_mil",1.75,59,1
"Ant_syl",1.75,60,1
"Her_sph",1.75,63,1
"Gal_mol",1.75,63,1
"Hol_lan",1.75,29,1
"Hel_pub",1.75,26,1
"Car_hir",1.75,16,1
"Bra_pin",1.75,0,0
"Pha_aru",1.75,9,1
"Ant_odo",1.75,22,1
"Ver_cha",1.75,59,1
"Fes_ovi",1.75,2,1
"Rum_ace",1.75,59,1
"Des_ces",1.75,12,1
"Phl_pra",1.75,35,1
"Agr_sto",1.75,14,1
"Cyn_cri",1.75,21,1
"Cir_ole",1.75,13,1
"Cre_bie",1.75,44,1
"Cer_hol",1.75,115,1
"Pla_med",1.75,15,1
"Thy_pul",1.75,2,1
"Urt_dio",1.75,16,1
"Lol_mul",1.75,14,1
"Cir_arv",1.75,32,1
"Ran_bul",1.75,25,1
"Tri_dub",1.75,19,1
"Lot_cor",1.75,11,1
"Car_car",1.75,25,1
"Leo_his",1.75,2,1
"Vic_sep",1.75,51,1
"Med_lup",1.75,21,1
"Poa_tri",2,92,1
"Poa_pra",2,120,1
"Alo_pra",2,65,1
"Dac_glo",2,114,1
"Tri_rep",2,103,1
"Tar_sp",2,125,1
"Lol_per",2,86,1
"Arr_ela",2,43,1
"Fes_rub",2,37,1
"Fes_pra",2,58,1
"Tri_fla",2,41,1
"Ely_rep",2,54,1
"Tri_pra",2,71,1
"Ran_rep",2,48,1
"Bro_ere",2,6,1
"Ran_acr",2,45,1
"Bro_hor",2,68,1
"Pla_lan",2,83,1
"Ach_mil",2,57,1
"Ant_syl",2,54,1
"Her_sph",2,56,1
"Gal_mol",2,57,1
"Hol_lan",2,31,1
"Hel_pub",2,17,1
"Car_hir",2,14,1
"Bra_pin",2,1,1
"Pha_aru",2,6,1
"Ant_odo",2,11,1
"Ver_cha",2,66,1
"Fes_ovi",2,4,1
"Rum_ace",2,43,1
"Des_ces",2,11,1
"Phl_pra",2,39,1
"Agr_sto",2,13,1
"Cyn_cri",2,12,1
"Cir_ole",2,10,1
"Cre_bie",2,44,1
"Cer_hol",2,113,1
"Pla_med",2,12,1
"Thy_pul",2,0,0
"Urt_dio",2,14,1
"Lol_mul",2,12,1
"Cir_arv",2,31,1
"Ran_bul",2,32,1
"Tri_dub",2,23,1
"Lot_cor",2,10,1
"Car_car",2,24,1
"Leo_his",2,1,1
"Vic_sep",2,43,1
"Med_lup",2,19,1
"Poa_tri",2.25,87,1
"Poa_pra",2.25,94,1
"Alo_pra",2.25,75,1
"Dac_glo",2.25,92,1
"Tri_rep",2.25,85,1
"Tar_sp",2.25,103,1
"Lol_per",2.25,70,1
"Arr_ela",2.25,45,1
"Fes_rub",2.25,33,1
"Fes_pra",2.25,57,1
"Tri_fla",2.25,62,1
"Ely_rep",2.25,44,1
"Tri_pra",2.25,70,1
"Ran_rep",2.25,32,1
"Bro_ere",2.25,2,1
"Ran_acr",2.25,55,1
"Bro_hor",2.25,51,1
"Pla_lan",2.25,73,1
"Ach_mil",2.25,46,1
"Ant_syl",2.25,58,1
"Her_sph",2.25,67,1
"Gal_mol",2.25,64,1
"Hol_lan",2.25,18,1
"Hel_pub",2.25,18,1
"Car_hir",2.25,9,1
"Bra_pin",2.25,1,1
"Pha_aru",2.25,9,1
"Ant_odo",2.25,8,1
"Ver_cha",2.25,56,1
"Fes_ovi",2.25,2,1
"Rum_ace",2.25,54,1
"Des_ces",2.25,8,1
"Phl_pra",2.25,33,1
"Agr_sto",2.25,9,1
"Cyn_cri",2.25,9,1
"Cir_ole",2.25,7,1
"Cre_bie",2.25,42,1
"Cer_hol",2.25,87,1
"Pla_med",2.25,9,1
"Thy_pul",2.25,0,0
"Urt_dio",2.25,7,1
