"combos","SND","SFD","overlap","differential","feasibility","pair_to_all","LUI"
"Arr_ela.Tri_pra.Ant_syl",1.09567690335033,25.6692687769591,0.713,0.143,1,1,0.5
"Arr_ela.Tri_pra.Her_sph",0.922032709046198,29.6456991245406,0.59,0.236,1,1,0.5
"Arr_ela.Tri_pra.Hel_pub",0.324768109837993,34.3199431017086,0.231,-0.021,0,0.666666666666667,0.5
"Arr_ela.Tri_pra.Bra_pin",0.602451652351169,26.2165668720011,0.529,-0.01,1,1,0.5
"Arr_ela.Ran_rep.Bro_ere",0.766327571953061,35.9718169670117,0.768,-0.033,1,1,0.5
"Arr_ela.Ran_rep.Ran_acr",1.05528486071476,41.6684431042433,0.789,0.011,1,1,0.5
"Arr_ela.Ran_rep.Pla_lan",0.957668370317886,40.0221618464447,0.831,0.044,0,0.666666666666667,0.5
"Arr_ela.Ran_rep.Ach_mil",1.07164411749732,56.8207845051528,0.895,0.037,1,1,0.5
"Arr_ela.Ran_rep.Ant_syl",1.1091429112108,40.7628056144013,0.896,0.032,1,1,0.5
"Arr_ela.Ran_rep.Her_sph",1.4141245087832,39.0768980120095,0.945,0.047,1,1,0.5
"Arr_ela.Ran_rep.Hel_pub",0.372867421298933,40.2639916913071,0.375,-0.027,0,0.333333333333333,0.5
"Arr_ela.Ran_rep.Bra_pin",0.730048839252734,31.7273935342697,0.746,-0.049,1,1,0.5
"Arr_ela.Bro_ere.Ran_acr",0.905803628279737,23.5063611421204,0.644,-0.117,1,1,0.5
"Arr_ela.Bro_ere.Pla_lan",0.968393523042665,28.4158240663377,0.823,0.001,1,1,0.5
"Arr_ela.Bro_ere.Ach_mil",0.802513873809109,30.6258434742424,0.668,-0.099,1,1,0.5
"Arr_ela.Bro_ere.Ant_syl",0.889462610766691,18.4201201818671,0.686,-0.109,1,1,0.5
"Arr_ela.Bro_ere.Her_sph",0.681550181527012,20.2799249393749,0.562,-0.118,1,1,0.5
"Arr_ela.Bro_ere.Hel_pub",0.0996776987651236,19.0635601269012,0.06,-0.00800000000000001,0,0.333333333333333,0.5
"Arr_ela.Bro_ere.Bra_pin",0.91603815899486,34.3112926308846,0.66,0.0679999999999999,1,1,0.5
"Arr_ela.Ran_acr.Pla_lan",1.29458431455965,30.7767452141595,0.867,0.005,1,1,0.5
"Arr_ela.Ran_acr.Ach_mil",1.5043368539978,54.0601377594091,0.904,0.0669999999999999,1,0.666666666666667,0.5
"Arr_ela.Ran_acr.Ant_syl",1.4244115153288,32.8196821228675,0.852,0.046,1,1,0.5
"Arr_ela.Ran_acr.Her_sph",1.28908387318312,41.6304252898151,0.817,-0.002,1,1,0.5
"Arr_ela.Ran_acr.Hel_pub",0.685517157206383,21.1815493937275,0.308,0.168,1,0.666666666666667,0.5
"Arr_ela.Ran_acr.Bra_pin",0.985209038290443,13.9377887205986,0.688,0.033,1,1,0.5
"Arr_ela.Pla_lan.Ach_mil",1.18813043303193,47.1004908550039,0.899,-0.02,1,1,0.5
"Arr_ela.Pla_lan.Ant_syl",1.3159556436992,27.6635440179131,0.942,-0.00700000000000001,1,1,0.5
