"combos","SND","SFD","overlap","differential","feasibility","pair_to_all","LUI"
"Bro_ere.Ran_acr.Bra_pin",1.13048143435081,41.3844666715997,0.851,0.018,1,1,0.75
"Bro_ere.Bro_hor.Pla_lan",0.934619175283446,40.9016191724964,0.892,0.017,1,1,0.75
"Bro_ere.Bro_hor.Ach_mil",0.81191607692783,41.6247357920893,0.773,-0.0499999999999999,1,1,0.75
"Bro_ere.Bro_hor.Ant_syl",0.816044035592166,36.0189610928426,0.784,-0.0399999999999999,1,1,0.75
"Bro_ere.Bro_hor.Her_sph",0.816726149799132,28.0782815215139,0.6,-0.099,1,1,0.75
"Bro_ere.Bro_hor.Hel_pub",0.175258798522656,25.8184275707387,0.136,-0.023,0,0.666666666666667,0.75
"Bro_ere.Bro_hor.Bra_pin",1.17822292004185,45.7075041599515,0.866,0.0600000000000001,1,1,0.75
"Bro_ere.Pla_lan.Ach_mil",0.812331591633011,40.1326472873253,0.809,0.0169999999999999,1,1,0.75
"Bro_ere.Pla_lan.Ant_syl",0.880926340842044,31.9837408478034,0.848,0.025,1,1,0.75
"Bro_ere.Pla_lan.Her_sph",0.706713809972017,32.9895473237447,0.664,0.0199999999999999,1,1,0.75
"Bro_ere.Pla_lan.Hel_pub",0.213669509677609,23.0628294650165,0.199,0.015,0,0.666666666666667,0.75
"Bro_ere.Pla_lan.Bra_pin",0.772798438080113,45.5857157576058,0.613,-0.00600000000000001,1,1,0.75
"Bro_ere.Ach_mil.Ant_syl",0.716034765220485,34.6048416751442,0.686,-0.096,1,1,0.75
"Bro_ere.Ach_mil.Her_sph",0.564773019484445,36.5225351819124,0.538,-0.098,1,1,0.75
"Bro_ere.Ach_mil.Hel_pub",0.151442503405058,25.0611401504623,0.13,-0.025,0,0.666666666666667,0.75
"Bro_ere.Ach_mil.Bra_pin",1.07688469399228,43.7970813256205,0.766,0.108,1,1,0.75
"Bro_ere.Ant_syl.Her_sph",0.662964483597206,28.8771849297112,0.576,-0.052,1,1,0.75
"Bro_ere.Ant_syl.Hel_pub",0.152763174753089,23.6819091412859,0.131,-0.02,0,0.333333333333333,0.75
"Bro_ere.Ant_syl.Bra_pin",1.05722560469855,37.0312067920241,0.788,0.046,1,1,0.75
"Bro_ere.Her_sph.Hel_pub",0.12838211186027,25.7523947506563,0.132,-0.036,0,0.333333333333333,0.75
"Bro_ere.Her_sph.Bra_pin",0.902028720569536,36.2614518476623,0.643,0.126,1,1,0.75
"Bro_ere.Hel_pub.Bra_pin",0.330810155006692,8.50868808100213,0.102,0.116,1,0.666666666666667,0.75
"Ran_acr.Bro_hor.Pla_lan",1.03902136654512,22.4147605479446,0.902,-0.016,1,1,0.75
"Ran_acr.Bro_hor.Ach_mil",1.22847959411682,47.3528987852056,0.95,0.023,1,1,0.75
"Ran_acr.Bro_hor.Ant_syl",1.08519631448335,24.1063147023091,0.909,0.0379999999999999,1,1,0.75
"Ran_acr.Bro_hor.Her_sph",1.27208500748335,23.1593869842925,0.884,-0.024,1,1,0.75
"Ran_acr.Bro_hor.Hel_pub",1.03240890802409,33.7007184256495,0.819,0.001,1,1,0.75
"Ran_acr.Bro_hor.Bra_pin",0.99989596199306,31.6998644799513,0.913,-0.0169999999999999,1,1,0.75
"Ran_acr.Pla_lan.Ach_mil",1.01345876449155,35.9454487249832,0.866,-0.039,0,1,0.75
"Ran_acr.Pla_lan.Ant_syl",0.99233804661258,2.86171033825445,0.862,-0.023,1,1,0.75
"Ran_acr.Pla_lan.Her_sph",0.892510985970401,24.6004682517806,0.858,-0.027,1,1,0.75
"Ran_acr.Pla_lan.Hel_pub",1.0274979587237,30.8926797107247,0.833,-0.011,1,1,0.75
"Ran_acr.Pla_lan.Bra_pin",0.606240077844477,16.9495724812691,0.541,-0.0179999999999999,1,1,0.75
"Ran_acr.Ach_mil.Ant_syl",1.07193051196801,34.6028557366817,0.851,-0.026,1,1,0.75
"Ran_acr.Ach_mil.Her_sph",0.975683310105255,46.0319129965599,0.852,-0.004,1,1,0.75
"Ran_acr.Ach_mil.Hel_pub",0.986868182372178,35.6531553379496,0.8,-0.0369999999999999,1,1,0.75
"Ran_acr.Ach_mil.Bra_pin",1.02187196210124,38.6574907403327,0.924,-0.00599999999999989,0,1,0.75
"Ran_acr.Ant_syl.Her_sph",1.04678060415299,33.3290252454384,0.781,0.0469999999999999,1,1,0.75
"Ran_acr.Ant_syl.Hel_pub",0.717580758929286,35.5509528948811,0.594,-0.0610000000000001,0,0.666666666666667,0.75
"Ran_acr.Ant_syl.Bra_pin",0.917613844571045,18.0832591151879,0.85,-0.018,1,1,0.75
"Ran_acr.Her_sph.Hel_pub",0.841824584690796,40.8573539684826,0.736,-0.0620000000000001,0,0.666666666666667,0.75
"Ran_acr.Hel_pub.Bra_pin",1.07540692211518,16.1746268084935,0.859,-0.012,1,1,0.75
"Bro_hor.Pla_lan.Ach_mil",0.95252582276884,41.8396775136959,0.905,-0.026,1,1,0.75
"Bro_hor.Pla_lan.Ant_syl",0.951497712907541,27.3136707060192,0.942,0.016,1,1,0.75
"Bro_hor.Pla_lan.Her_sph",1.22206104641083,23.5117221654465,0.887,-0.041,1,1,0.75
"Bro_hor.Pla_lan.Hel_pub",0.826160727837622,40.0950719762384,0.808,0.004,1,1,0.75
"Bro_hor.Pla_lan.Bra_pin",0.581032753197022,28.0706934631762,0.557,-0.0379999999999999,1,1,0.75
"Bro_hor.Ach_mil.Ant_syl",1.03921294763992,42.810067999817,0.945,0.029,1,1,0.75
"Bro_hor.Ach_mil.Her_sph",1.33499494206077,38.9810148619886,0.944,-0.012,1,1,0.75
"Bro_hor.Ach_mil.Hel_pub",0.795980897723094,42.1882220374131,0.734,-0.034,1,1,0.75
"Bro_hor.Ach_mil.Bra_pin",0.973055813761611,46.5143971989836,0.926,-0.0169999999999999,1,1,0.75
"Bro_hor.Ant_syl.Her_sph",1.47996393021619,37.970736385273,0.895,-0.013,1,1,0.75
"Bro_hor.Ant_syl.Hel_pub",0.625175781283073,41.4058209096629,0.595,0.01,0,0.666666666666667,0.75
"Bro_hor.Ant_syl.Bra_pin",0.895129565990442,31.5945329380817,0.885,-0.011,1,1,0.75
"Bro_hor.Her_sph.Hel_pub",0.963471500487014,37.6325756242766,0.699,-0.048,0,0.666666666666667,0.75
"Bro_hor.Her_sph.Bra_pin",1.15848674004224,31.4145565517225,0.856,-0.05,1,1,0.75
"Bro_hor.Hel_pub.Bra_pin",0.868461068611863,31.3334259935208,0.798,-0.02,1,1,0.75
"Pla_lan.Ach_mil.Ant_syl",0.909019779300082,30.2227101045292,0.875,-0.002,1,1,0.75
"Pla_lan.Ach_mil.Her_sph",0.86565209203601,39.7633888153569,0.856,-0.023,1,1,0.75
"Pla_lan.Ach_mil.Hel_pub",0.781210729962299,39.3734914705016,0.759,0.014,1,1,0.75
"Pla_lan.Ach_mil.Bra_pin",0.561321100262602,32.1846322023514,0.54,-0.0529999999999999,1,1,0.75
"Pla_lan.Ant_syl.Her_sph",1.03075583813532,30.7353404856939,0.861,0.025,1,1,0.75
"Pla_lan.Ant_syl.Hel_pub",0.649199828680174,38.1708911719277,0.612,0.002,0,0.666666666666667,0.75
"Pla_lan.Ant_syl.Bra_pin",0.571061756898767,13.6870955166384,0.541,-0.0529999999999999,1,1,0.75
"Pla_lan.Her_sph.Hel_pub",0.771147987852046,42.3923270469489,0.742,-0.01,0,0.666666666666667,0.75
"Pla_lan.Her_sph.Bra_pin",0.544252583566447,25.6092063870802,0.571,-0.0590000000000001,1,1,0.75
"Pla_lan.Hel_pub.Bra_pin",0.615660037506025,28.1608734258783,0.467,0.0369999999999999,0,1,0.75
"Ach_mil.Ant_syl.Her_sph",1.05285899725369,49.1919014178972,0.825,0.00900000000000001,1,1,0.75
"Ach_mil.Ant_syl.Hel_pub",0.588110126599375,40.0788371714247,0.538,-0.0129999999999999,0,0.666666666666667,0.75
"Ach_mil.Ant_syl.Bra_pin",0.882338825488812,33.8779913394195,0.844,-0.022,1,1,0.75
"Ach_mil.Her_sph.Hel_pub",0.703689705109628,45.5725017703692,0.675,-0.0609999999999999,0,0.666666666666667,0.75
"Ach_mil.Her_sph.Bra_pin",0.851519266540612,45.086783917888,0.807,-0.033,1,1,0.75
"Ach_mil.Hel_pub.Bra_pin",0.83802983328701,30.8046152696367,0.749,-0.038,1,1,0.75
"Ant_syl.Her_sph.Hel_pub",0.684739217708572,42.6656048469384,0.524,0.071,0,0.333333333333333,0.75
"Ant_syl.Hel_pub.Bra_pin",0.652987825088785,30.2732543708194,0.578,0.017,0,0.666666666666667,0.75
"Her_sph.Hel_pub.Bra_pin",0.789957431525996,33.8014414100313,0.686,0.015,0,0.666666666666667,0.75
"Poa_pra.Alo_pra.Dac_glo",1.04074704052134,24.2928528980214,0.9,0.023,1,1,1
"Poa_pra.Alo_pra.Tri_rep",1.33258428677097,25.0861867530242,0.906,-0.027,1,1,1
"Poa_pra.Alo_pra.Arr_ela",1.29848414431416,16.5646202015805,0.933,0.0309999999999999,1,1,1
"Poa_pra.Alo_pra.Fes_rub",1.32905314318319,19.2984973846108,0.926,0.0279999999999999,1,1,1
"Poa_pra.Alo_pra.Fes_pra",1.17964827149629,31.0106938931127,0.846,-0.056,1,1,1
"Poa_pra.Alo_pra.Tri_pra",1.03378921155462,12.9104478995125,0.761,-0.08,1,1,1
"Poa_pra.Alo_pra.Ran_rep",1.34334585671649,35.6758378743202,0.928,0.0539999999999999,1,1,1
"Poa_pra.Alo_pra.Bro_ere",0.873447694452707,14.5578711459899,0.733,-0.031,1,1,1
"Poa_pra.Alo_pra.Ran_acr",1.17678948580552,41.9735719270357,0.852,0.073,1,1,1
"Poa_pra.Alo_pra.Bro_hor",1.20051742355573,29.2059914409062,0.934,0.0299999999999999,1,1,1
"Poa_pra.Alo_pra.Pla_lan",1.60077947216819,19.0105595183926,0.907,0.0629999999999999,1,1,1
"Poa_pra.Alo_pra.Ach_mil",1.15664346795639,41.694769202239,0.92,0.0459999999999999,1,1,1
"Poa_pra.Alo_pra.Ant_syl",0.855929867925989,22.3991022366594,0.796,-0.0469999999999999,1,1,1
"Poa_pra.Alo_pra.Her_sph",0.209189809358277,15.6563927160862,0.198,-0.016,0,0.333333333333333,1
"Poa_pra.Alo_pra.Hel_pub",0.504902008304511,10.867766032155,0.431,-0.054,1,1,1
"Poa_pra.Alo_pra.Bra_pin",0.994430523184508,16.7901513873558,0.84,-0.025,1,1,1
"Poa_pra.Dac_glo.Tri_rep",1.89400891439771,12.2795027663536,0.971,0.029,1,1,1
"Poa_pra.Dac_glo.Arr_ela",1.31139119753646,4.68497736603152,0.846,0.0780000000000001,1,1,1
"Poa_pra.Dac_glo.Fes_rub",0.913158656984861,23.6965289882378,0.61,-0.054,1,1,1
"Poa_pra.Dac_glo.Fes_pra",1.64401907657772,12.4141868280494,0.98,0.002,1,1,1
"Poa_pra.Dac_glo.Tri_pra",1.29054606573881,34.1434110214746,0.961,-0.011,1,1,1
"Poa_pra.Dac_glo.Ran_rep",1.02558727459367,19.04450617869,0.921,0.0329999999999999,1,1,1
"Poa_pra.Dac_glo.Bro_ere",0.6542024906302,18.3583569928369,0.587,-0.05,1,1,1
"Poa_pra.Dac_glo.Ran_acr",0.751568864963346,19.969959305236,0.752,-0.023,1,1,1
"Poa_pra.Dac_glo.Bro_hor",1.39248297272331,18.7623150919798,0.946,0.01,1,1,1
"Poa_pra.Dac_glo.Pla_lan",0.721895726327711,24.7965922562119,0.58,-0.032,1,1,1
"Poa_pra.Dac_glo.Ach_mil",1.05584980052658,21.9065344084102,0.844,-0.025,1,1,1
"Poa_pra.Dac_glo.Ant_syl",0.596086558550857,9.54759134686648,0.591,-0.017,1,1,1
"Poa_pra.Dac_glo.Her_sph",0.973251396371636,40.604351863394,0.692,0.005,0,0.333333333333333,1
"Poa_pra.Dac_glo.Hel_pub",1.12180916937106,18.1340041847086,0.634,-0.0499999999999999,1,1,1
"Poa_pra.Dac_glo.Bra_pin",0.785312797326652,10.9140686456004,0.707,-0.05,1,1,1
"Poa_pra.Tri_rep.Arr_ela",1.87680898552578,10.7392824138054,0.986,0.014,1,1,1
"Poa_pra.Tri_rep.Fes_rub",2.11779985561819,6.32286797411024,0.94,0.011,1,1,1
"Poa_pra.Tri_rep.Fes_pra",1.8243973768223,49.3794706992629,1,0,1,1,1
"Poa_pra.Tri_rep.Tri_pra",1.36039151275644,38.1372388286507,0.814,0.104,1,0.666666666666667,1
"Poa_pra.Tri_rep.Ran_rep",1.61686741454387,28.4155814094405,1,0,1,1,1
"Poa_pra.Tri_rep.Bro_ere",1.13047396070869,23.9961672658997,0.781,-0.093,1,1,1
"Poa_pra.Tri_rep.Ran_acr",1.38837934930564,20.9888099139415,0.888,-0.014,1,1,1
"Poa_pra.Tri_rep.Bro_hor",1.42761755640886,31.9270416650943,0.978,-0.00600000000000001,1,1,1
"Poa_pra.Tri_rep.Pla_lan",2.18542052784254,24.4444346461222,0.997,0.003,1,1,1
"Poa_pra.Tri_rep.Ach_mil",1.49979573749695,46.4800582732239,1,0,1,1,1
"Poa_pra.Tri_rep.Ant_syl",1.38974345582217,15.0651011853405,0.963,-0.016,1,1,1
"Poa_pra.Tri_rep.Her_sph",1.12660753212158,35.5836355691178,0.713,0.0710000000000001,0,0.666666666666667,1
"Poa_pra.Tri_rep.Hel_pub",0.968830407730003,29.7738454552514,0.681,0.019,1,0.666666666666667,1
"Poa_pra.Tri_rep.Bra_pin",1.47523647615276,12.5326218919393,0.868,-0.056,1,1,1
"Poa_pra.Arr_ela.Fes_rub",1.36831627549904,11.565008227421,0.845,0.0650000000000001,1,1,1
"Poa_pra.Arr_ela.Fes_pra",1.29502543902518,39.741087669624,0.854,0.114,1,0.666666666666667,1
"Poa_pra.Arr_ela.Tri_pra",1.19247441284574,37.4421436685182,0.746,0.07,1,0.666666666666667,1
"Poa_pra.Arr_ela.Ran_rep",1.24756543985774,23.5570077104552,0.949,0.035,1,1,1
"Poa_pra.Arr_ela.Bro_ere",0.922396850809994,16.4858210012731,0.736,-0.09,1,1,1
"Poa_pra.Arr_ela.Ran_acr",1.37670843234117,38.1781417633191,0.848,-0.00800000000000001,1,1,1
"Poa_pra.Arr_ela.Bro_hor",1.24560625358926,15.7158190685661,0.883,0.069,1,1,1
"Poa_pra.Arr_ela.Pla_lan",1.80587177720942,18.3020447716773,0.968,-0.00900000000000001,1,1,1
"Poa_pra.Arr_ela.Ach_mil",1.47818347744182,45.2204948058257,1,0,1,1,1
"Poa_pra.Arr_ela.Ant_syl",1.53902416499503,23.6194924719728,0.995,0,1,1,1
"Poa_pra.Arr_ela.Her_sph",1.09644417036328,43.285281935625,0.716,0.153,1,0.666666666666667,1
"Poa_pra.Arr_ela.Hel_pub",0.477986569502514,21.1878946490882,0.293,-0.046,0,0.666666666666667,1
"Poa_pra.Arr_ela.Bra_pin",1.00983757548659,3.82416861635861,0.76,0.0119999999999999,1,1,1
"Poa_pra.Fes_rub.Fes_pra",1.63924356381563,39.6079154953529,1,0,1,1,1
"Poa_pra.Fes_rub.Tri_pra",1.36979049554936,13.9644589611556,0.836,-0.00900000000000001,1,1,1
"Poa_pra.Fes_rub.Ran_rep",1.57520405733624,21.1856071190354,1,0,1,1,1
"Poa_pra.Fes_rub.Bro_ere",0.734568248073845,11.8671256477939,0.538,-0.106,1,1,1
"Poa_pra.Fes_rub.Ran_acr",1.28485406932141,25.8838773566232,0.919,0.003,1,1,1
"Poa_pra.Fes_rub.Bro_hor",1.3974559509192,26.6906735318009,0.921,-0.0219999999999999,1,1,1
"Poa_pra.Fes_rub.Pla_lan",2.06356995463435,23.7971219213047,0.955,-0.004,1,1,1
"Poa_pra.Fes_rub.Ach_mil",0.830981711327574,43.8369570396491,0.677,0.0149999999999999,0,0.666666666666667,1
"Poa_pra.Fes_rub.Ant_syl",1.10478440615189,15.5564229657384,0.853,-0.013,1,1,1
"Poa_pra.Fes_rub.Her_sph",0.73373744323215,35.4495122811784,0.575,0.089,0,0.333333333333333,1
"Poa_pra.Fes_rub.Hel_pub",1.77612866701849,15.5062803581688,0.797,-0.074,1,1,1
"Poa_pra.Fes_rub.Bra_pin",1.25567846384962,9.88444204375246,0.737,-0.052,1,1,1
"Poa_pra.Fes_pra.Tri_pra",1.70857897619676,33.6813770129958,1,0,1,1,1
"Poa_pra.Fes_pra.Ran_rep",1.55620343319169,37.9359648144159,1,0,1,1,1
"Poa_pra.Fes_pra.Bro_ere",1.1518305299326,32.6210920874049,0.848,-0.055,1,1,1
"Poa_pra.Fes_pra.Ran_acr",1.20918598899169,34.3034117197352,0.909,0.004,1,1,1
"Poa_pra.Fes_pra.Bro_hor",1.40977724228894,39.5718533485672,0.993,0.003,1,1,1
"Poa_pra.Fes_pra.Pla_lan",1.99069513894441,39.6223969284699,0.994,-0.003,1,1,1
"Poa_pra.Fes_pra.Ach_mil",1.57668429644501,51.0637351739681,1,0,1,1,1
"Poa_pra.Fes_pra.Ant_syl",1.37306122994426,23.4272777357784,0.953,-0.014,1,1,1
"Poa_pra.Fes_pra.Her_sph",0.796037595171894,47.4850973169223,0.602,0.108,0,0.666666666666667,1
"Poa_pra.Fes_pra.Hel_pub",1.37923165780831,19.0063733206856,0.803,-0.078,1,1,1
"Poa_pra.Fes_pra.Bra_pin",1.52557984100927,21.4678587572933,0.949,-0.021,1,1,1
"Poa_pra.Tri_pra.Ran_rep",1.30593087249189,36.5108469715102,0.959,0.022,1,1,1
"Poa_pra.Tri_pra.Bro_ere",1.03063513852495,9.82608075660219,0.784,-0.076,1,1,1
"Poa_pra.Tri_pra.Ran_acr",1.26442780845781,46.7425517168714,0.867,-0.017,1,1,1
"Poa_pra.Tri_pra.Bro_hor",1.45966254306572,32.9732420732659,0.988,0.012,1,1,1
"Poa_pra.Tri_pra.Pla_lan",1.79844548770515,27.3131535678318,0.995,0.005,1,1,1
"Poa_pra.Tri_pra.Ach_mil",1.30839619906718,46.3134634729386,0.991,0.002,0,0.666666666666667,1
"Poa_pra.Tri_pra.Ant_syl",1.20841439763163,32.9997787280965,0.959,-0.00900000000000001,1,1,1
"Poa_pra.Tri_pra.Her_sph",0.803983569083978,42.3788931037598,0.595,0.084,0,0.333333333333333,1
"Poa_pra.Tri_pra.Hel_pub",0.950967314315879,10.6524076198976,0.686,-0.0740000000000001,1,1,1
"Poa_pra.Tri_pra.Bra_pin",1.10622514005641,20.0958496802438,0.833,-0.038,1,1,1
"Poa_pra.Ran_rep.Bro_ere",0.958048885293529,31.5827437498029,0.823,-0.048,1,1,1
"Poa_pra.Ran_rep.Ran_acr",0.940185450195342,22.2847568446566,0.864,0.00900000000000001,1,1,1
"Poa_pra.Ran_rep.Bro_hor",1.36012871735495,22.9544687198599,0.992,0.00800000000000001,1,1,1
"Poa_pra.Ran_rep.Pla_lan",1.34901922861586,37.1993303631178,0.909,0.0429999999999999,1,1,1
"Poa_pra.Ran_rep.Ach_mil",1.07297447081674,40.5543555854203,0.948,0.027,1,1,1
"Poa_pra.Ran_rep.Ant_syl",1.01296562282166,18.1836847549592,0.929,0.0119999999999999,1,1,1
"Poa_pra.Ran_rep.Her_sph",0.927417173734178,32.1419426587975,0.743,0.072,0,0.666666666666667,1
"Poa_pra.Ran_rep.Hel_pub",0.870362013615206,29.7222225296499,0.738,-0.022,1,1,1
"Poa_pra.Ran_rep.Bra_pin",1.07702950017766,23.597437442855,0.928,-0.012,1,1,1
"Poa_pra.Bro_ere.Ran_acr",0.807920728825721,34.9757987114134,0.766,-0.029,1,1,1
"Poa_pra.Bro_ere.Bro_hor",0.965522539410793,27.9300898817987,0.797,-0.0659999999999999,1,1,1
"Poa_pra.Bro_ere.Pla_lan",1.27377155070043,17.5356291303633,0.843,-0.048,1,1,1
"Poa_pra.Bro_ere.Ach_mil",0.796732447661569,34.2316793342021,0.742,-0.0690000000000001,1,1,1
"Poa_pra.Bro_ere.Ant_syl",0.818433860214215,27.1215494121203,0.757,-0.0669999999999999,1,1,1
"Poa_pra.Bro_ere.Her_sph",0.518212365720329,35.0197092245708,0.497,-0.017,0,0.333333333333333,1
"Poa_pra.Bro_ere.Hel_pub",0.177221129596378,14.8095729634955,0.144,-0.022,0,0.666666666666667,1
"Poa_pra.Bro_ere.Bra_pin",1.30937507635372,34.1054132813534,0.859,0.0630000000000001,1,1,1
"Poa_pra.Ran_acr.Bro_hor",1.13770829731365,19.7649969777954,0.928,0.005,1,1,1
"Poa_pra.Ran_acr.Pla_lan",1.32852768450429,27.8067316531615,0.9,0.0369999999999999,1,1,1
"Poa_pra.Ran_acr.Ach_mil",1.0706424081848,36.6746035698715,0.911,0.0489999999999999,1,1,1
"Poa_pra.Ran_acr.Ant_syl",0.967482251748105,10.478864751636,0.877,0.025,1,1,1
"Poa_pra.Ran_acr.Her_sph",0.647060902473301,31.3879988339893,0.644,-0.023,0,0.333333333333333,1
"Poa_pra.Ran_acr.Hel_pub",0.978622358119019,24.9604499428406,0.805,0.014,1,1,1
"Poa_pra.Ran_acr.Bra_pin",0.975783514862202,25.1231216611632,0.88,-0.00600000000000001,1,1,1
"Poa_pra.Bro_hor.Pla_lan",1.4205453110571,31.3050615985839,0.954,-0.01,1,1,1
"Poa_pra.Bro_hor.Ach_mil",1.21736373804056,39.676497986556,0.991,0.00800000000000001,1,1,1
"Poa_pra.Bro_hor.Ant_syl",1.12119626326547,13.5630943425614,0.965,-0.003,1,1,1
"Poa_pra.Bro_hor.Her_sph",1.1428919754103,35.9816227576623,0.722,0.131,0,0.666666666666667,1
"Poa_pra.Bro_hor.Hel_pub",0.911379573840841,23.6870816268378,0.752,-0.074,1,1,1
"Poa_pra.Bro_hor.Bra_pin",1.11746261667141,19.68585233663,0.899,-0.0389999999999999,1,1,1
"Poa_pra.Pla_lan.Ach_mil",1.32686846304645,45.6530192378482,0.937,-0.002,1,1,1
"Poa_pra.Pla_lan.Ant_syl",1.36122398684562,19.8137104996681,0.964,-0.00800000000000001,1,1,1
"Poa_pra.Pla_lan.Her_sph",1.05851654463676,39.5727528954516,0.669,0.158,0,0.333333333333333,1
"Poa_pra.Pla_lan.Hel_pub",1.15945243362325,16.5257969386219,0.772,-0.0409999999999999,1,1,1
"Poa_pra.Pla_lan.Bra_pin",0.820195043894858,14.2681600722358,0.594,-0.038,1,1,1
"Poa_pra.Ach_mil.Ant_syl",1.02114525680302,31.1281378078235,0.953,-0.00600000000000001,1,1,1
"Poa_pra.Ach_mil.Her_sph",0.728660513978003,44.3029929477985,0.683,0.025,0,0.666666666666667,1
"Poa_pra.Ach_mil.Hel_pub",0.825894041101652,31.6610070724898,0.734,-0.0780000000000001,1,1,1
"Poa_pra.Ach_mil.Bra_pin",1.04172470068635,35.6790386205148,0.924,-0.0099999999999999,1,1,1
"Poa_pra.Ant_syl.Her_sph",0.795729752037085,37.4709558875383,0.639,0.017,0,0.333333333333333,1
"Poa_pra.Ant_syl.Hel_pub",0.659227723999837,31.6487195744084,0.568,0.01,0,0.666666666666667,1
"Poa_pra.Ant_syl.Bra_pin",0.980520828350043,13.6483710857659,0.896,-0.024,1,1,1
"Poa_pra.Her_sph.Hel_pub",0.615961415972859,41.0083567927958,0.536,0.0619999999999999,0,0.333333333333333,1
"Poa_pra.Her_sph.Bra_pin",0.724886485224555,35.1450333627498,0.629,0.0549999999999999,0,0.333333333333333,1
"Poa_pra.Hel_pub.Bra_pin",1.00157511880357,9.54126380907989,0.776,-0.0319999999999999,1,1,1
"Alo_pra.Dac_glo.Tri_rep",1.7037818790905,14.8540640832522,0.987,-0.002,1,1,1
"Alo_pra.Dac_glo.Arr_ela",1.23985749870587,24.5802638143068,0.862,0.017,1,1,1
"Alo_pra.Dac_glo.Fes_rub",0.917639926413436,35.1404825006174,0.694,0.029,1,1,1
"Alo_pra.Dac_glo.Fes_pra",1.36236498633418,25.2908724362261,0.947,-0.018,1,1,1
"Alo_pra.Dac_glo.Tri_pra",0.983220907544642,20.9424728159735,0.874,0.022,1,1,1
"Alo_pra.Dac_glo.Ran_rep",1.22899989739822,42.4040551350959,0.939,0.026,1,1,1
"Alo_pra.Dac_glo.Bro_ere",0.688778618740365,12.3030403740269,0.603,-0.0760000000000001,1,1,1
"Alo_pra.Dac_glo.Ran_acr",1.03261547349455,48.0702443278631,0.795,0.001,1,1,1
"Alo_pra.Dac_glo.Bro_hor",1.42363848124032,30.0070018162252,0.973,0.015,1,1,1
"Alo_pra.Dac_glo.Pla_lan",0.713186893358604,39.3215228851687,0.568,0.0610000000000001,1,1,1
"Alo_pra.Dac_glo.Ach_mil",1.25672079362295,39.6633949274739,0.862,0.051,1,1,1
"Alo_pra.Dac_glo.Ant_syl",0.582187945348908,31.359220742192,0.526,0.0329999999999999,1,1,1
"Alo_pra.Dac_glo.Her_sph",0.303114681813276,13.7118276628487,0.235,0.01,0,0.333333333333333,1
"Alo_pra.Dac_glo.Hel_pub",0.728203431601585,7.71951040112276,0.353,0.043,1,1,1
"Alo_pra.Dac_glo.Bra_pin",0.774962868237297,25.2127366962123,0.735,-0.001,1,1,1
"Alo_pra.Tri_rep.Arr_ela",1.43342191072478,25.6241914877431,0.975,0.018,1,1,1
"Alo_pra.Tri_rep.Fes_rub",1.61690792630177,18.3526041440393,0.929,0.0289999999999999,1,1,1
"Alo_pra.Tri_rep.Fes_pra",1.14943842615906,45.0839656404828,0.945,-0.019,1,1,1
"Alo_pra.Tri_rep.Tri_pra",0.788733717237343,33.5177564739153,0.727,0.025,0,0.666666666666667,1
"Alo_pra.Tri_rep.Ran_rep",1.51524527026207,46.6950244418383,0.987,0.013,1,1,1
"Alo_pra.Tri_rep.Bro_ere",0.981739401927929,22.3769940356928,0.787,-0.0559999999999999,1,1,1
"Alo_pra.Tri_rep.Ran_acr",1.57186912084705,47.2504212771169,0.918,-0.011,1,1,1
"Alo_pra.Tri_rep.Bro_hor",1.15349792326581,44.1439871935686,0.985,0.012,1,1,1
"Alo_pra.Tri_rep.Pla_lan",1.57498107389353,33.7146215970758,0.981,0.014,1,1,1
"Alo_pra.Tri_rep.Ach_mil",1.37090681803364,50.4627503709818,0.991,0.00900000000000001,1,1,1
"Alo_pra.Tri_rep.Ant_syl",1.00603840242805,30.8837347877733,0.8,-0.0429999999999999,1,1,1
"Alo_pra.Tri_rep.Her_sph",0.285932119451308,21.0233974564034,0.247,-0.005,0,0.666666666666667,1
"Alo_pra.Tri_rep.Hel_pub",0.492987344497401,27.9054965704426,0.43,-0.00900000000000001,0,0.666666666666667,1
"Alo_pra.Tri_rep.Bra_pin",1.14862122619207,24.4490832051945,0.882,-0.041,1,1,1
"Alo_pra.Arr_ela.Fes_rub",1.07918795084169,29.6328296512171,0.834,0.022,1,1,1
"Alo_pra.Arr_ela.Fes_pra",0.899460250256109,42.1368777763983,0.816,0.054,0,0.666666666666667,1
"Alo_pra.Arr_ela.Tri_pra",0.799497686242651,30.4847362346564,0.665,0.074,0,0.666666666666667,1
"Alo_pra.Arr_ela.Ran_rep",1.21924513269462,41.0152258894225,0.954,0.024,1,1,1
"Alo_pra.Arr_ela.Bro_ere",0.841125091526232,15.6668188824532,0.749,-0.07,1,1,1
"Alo_pra.Arr_ela.Ran_acr",1.56326902075755,44.1239920707609,0.908,-0.029,1,1,1
"Alo_pra.Arr_ela.Bro_hor",1.08106402398,33.3251598809801,0.898,0.021,1,1,1
"Alo_pra.Arr_ela.Pla_lan",1.40226467166685,31.348866350674,0.97,-0.004,1,1,1
"Alo_pra.Arr_ela.Ach_mil",1.4246708466072,43.3187278830782,1,0,1,1,1
"Alo_pra.Arr_ela.Ant_syl",1.1620846639739,22.0499106356768,0.862,0.056,1,1,1
"Alo_pra.Arr_ela.Her_sph",0.291878892890167,11.8720039446573,0.268,0.00900000000000001,0,0.666666666666667,1
