"species","LUI","observed","presence"
"Bra_pin",2.25,1,1
"Poa_tri",2.5,34,1
"Poa_pra",2.5,41,1
"Alo_pra",2.5,26,1
"Dac_glo",2.5,43,1
"Tri_rep",2.5,41,1
"Tar_off",2.5,47,1
"Lol_per",2.5,35,1
"Arr_ela",2.5,17,1
"Fes_rub",2.5,15,1
"Fes_pra",2.5,28,1
"Tri_fla",2.5,19,1
"Ely_rep",2.5,24,1
"Tri_pra",2.5,35,1
"Ran_rep",2.5,12,1
"Bro_ere",2.5,1,1
"Ran_acr",2.5,19,1
"Bro_hor",2.5,22,1
"Pla_lan",2.5,35,1
"Ach_mil",2.5,20,1
"Ant_syl",2.5,23,1
"Her_sph",2.5,19,1
"Gal_mol",2.5,23,1
"Hol_lan",2.5,8,1
"Hel_pub",2.5,4,1
"Car_hir",2.5,2,1
"Bra_pin",2.5,1,1
"Poa_tri",2.75,27,1
"Poa_pra",2.75,28,1
"Alo_pra",2.75,22,1
"Dac_glo",2.75,27,1
"Tri_rep",2.75,35,1
"Tar_off",2.75,37,1
"Lol_per",2.75,28,1
"Arr_ela",2.75,9,1
"Fes_rub",2.75,9,1
"Fes_pra",2.75,17,1
"Tri_fla",2.75,17,1
"Ely_rep",2.75,16,1
"Tri_pra",2.75,20,1
"Ran_rep",2.75,10,1
"Bro_ere",2.75,0,0
"Ran_acr",2.75,11,1
"Bro_hor",2.75,21,1
"Pla_lan",2.75,24,1
"Ach_mil",2.75,16,1
"Ant_syl",2.75,16,1
"Her_sph",2.75,14,1
"Gal_mol",2.75,13,1
"Hol_lan",2.75,4,1
"Hel_pub",2.75,1,1
"Car_hir",2.75,2,1
"Bra_pin",2.75,0,0
"Poa_tri",3,17,1
"Poa_pra",3,21,1
"Alo_pra",3,17,1
"Dac_glo",3,22,1
"Tri_rep",3,20,1
"Tar_off",3,22,1
"Lol_per",3,19,1
"Arr_ela",3,6,1
"Fes_rub",3,7,1
"Fes_pra",3,17,1
"Tri_fla",3,9,1
"Ely_rep",3,16,1
"Tri_pra",3,12,1
"Ran_rep",3,7,1
"Bro_ere",3,1,1
"Ran_acr",3,2,1
"Bro_hor",3,12,1
"Pla_lan",3,17,1
"Ach_mil",3,12,1
"Ant_syl",3,5,1
"Her_sph",3,4,1
"Gal_mol",3,5,1
"Hol_lan",3,0,0
"Hel_pub",3,0,0
"Car_hir",3,0,0
"Bra_pin",3,0,0
