"species","richness","LUI","feasible"
"Des_ces","2","2.5",1
"Des_ces","2","2.75",1
"Des_ces","2","3",1
"Agr_sto","2","0.5",1
"Agr_sto","2","0.75",1
"Agr_sto","2","1",1
"Agr_sto","2","1.25",1
"Agr_sto","2","1.5",1
"Agr_sto","2","1.75",1
"Agr_sto","2","2",1
"Agr_sto","2","2.25",1
"Agr_sto","2","2.5",1
"Agr_sto","2","2.75",1
"Agr_sto","2","3",1
"Cre_bie","2","0.5",1
"Cre_bie","2","0.75",1
"Cre_bie","2","1",1
"Cre_bie","2","1.25",1
"Cre_bie","2","1.5",1
"Cre_bie","2","1.75",0
"Cre_bie","2","2",0
"Cre_bie","2","2.25",0
"Cre_bie","2","2.5",0
"Cre_bie","2","2.75",0
"Cre_bie","2","3",0
"Pla_med","2","0.5",1
"Pla_med","2","0.75",1
"Pla_med","2","1",1
"Pla_med","2","1.25",1
"Pla_med","2","1.5",1
"Pla_med","2","1.75",1
"Pla_med","2","2",1
"Pla_med","2","2.25",1
"Pla_med","2","2.5",1
"Pla_med","2","2.75",1
"Pla_med","2","3",1
"Thy_pul","2","0.5",1
"Thy_pul","2","0.75",1
"Thy_pul","2","1",1
"Thy_pul","2","1.25",1
"Thy_pul","2","1.5",1
"Thy_pul","2","1.75",1
"Thy_pul","2","2",1
"Thy_pul","2","2.25",0
"Thy_pul","2","2.5",0
"Thy_pul","2","2.75",0
"Thy_pul","2","3",0
"Lol_mul","2","0.5",1
"Lol_mul","2","0.75",1
"Lol_mul","2","1",1
"Lol_mul","2","1.25",1
"Lol_mul","2","1.5",1
"Lol_mul","2","1.75",1
"Lol_mul","2","2",0
"Lol_mul","2","2.25",0
"Lol_mul","2","2.5",0
"Lol_mul","2","2.75",0
"Lol_mul","2","3",0
"Tri_dub","2","0.5",1
"Tri_dub","2","0.75",1
"Tri_dub","2","1",1
"Tri_dub","2","1.25",1
"Tri_dub","2","1.5",1
"Tri_dub","2","1.75",1
"Tri_dub","2","2",1
"Tri_dub","2","2.25",1
"Tri_dub","2","2.5",1
"Tri_dub","2","2.75",1
"Tri_dub","2","3",1
"Lot_cor","2","0.5",1
"Lot_cor","2","0.75",1
"Lot_cor","2","1",1
"Lot_cor","2","1.25",0
"Lot_cor","2","1.5",0
"Lot_cor","2","1.75",0
"Lot_cor","2","2",0
"Lot_cor","2","2.25",0
"Lot_cor","2","2.5",0
"Lot_cor","2","2.75",0
"Lot_cor","2","3",0
"Car_car","2","0.5",1
"Car_car","2","0.75",1
"Car_car","2","1",1
"Car_car","2","1.25",0
"Car_car","2","1.5",0
"Car_car","2","1.75",0
"Car_car","2","2",0
"Car_car","2","2.25",0
"Car_car","2","2.5",0
"Car_car","2","2.75",0
"Car_car","2","3",0
"Leo_his","2","0.5",1
"Leo_his","2","0.75",1
"Leo_his","2","1",0
"Leo_his","2","1.25",0
"Leo_his","2","1.5",0
"Leo_his","2","1.75",0
"Leo_his","2","2",0
"Leo_his","2","2.25",0
"Leo_his","2","2.5",0
"Leo_his","2","2.75",0
"Leo_his","2","3",0
"Dac_glo","2","0.5",0
"Dac_glo","2","0.75",1
"Dac_glo","2","1",1
"Dac_glo","2","1.25",1
"Dac_glo","2","1.5",1
"Dac_glo","2","1.75",1
"Dac_glo","2","2",1
"Dac_glo","2","2.25",1
"Dac_glo","2","2.5",1
"Dac_glo","2","2.75",1
"Dac_glo","2","3",1
"Fes_rub","2","0.5",0
"Fes_rub","2","0.75",1
"Fes_rub","2","1",1
"Fes_rub","2","1.25",1
"Fes_rub","2","1.5",1
"Fes_rub","2","1.75",1
"Fes_rub","2","2",1
"Fes_rub","2","2.25",1
"Fes_rub","2","2.5",1
"Fes_rub","2","2.75",1
"Fes_rub","2","3",1
"Bro_hor","2","0.5",0
"Bro_hor","2","0.75",1
"Bro_hor","2","1",1
"Bro_hor","2","1.25",1
"Bro_hor","2","1.5",1
"Bro_hor","2","1.75",1
"Bro_hor","2","2",1
"Bro_hor","2","2.25",1
"Bro_hor","2","2.5",1
"Bro_hor","2","2.75",1
"Bro_hor","2","3",1
"Urt_dio","2","0.5",0
"Urt_dio","2","0.75",1
"Urt_dio","2","1",1
"Urt_dio","2","1.25",1
"Urt_dio","2","1.5",1
"Urt_dio","2","1.75",0
"Urt_dio","2","2",0
"Urt_dio","2","2.25",0
"Urt_dio","2","2.5",0
"Urt_dio","2","2.75",0
"Urt_dio","2","3",0
"Poa_pra","2","0.5",0
"Poa_pra","2","0.75",0
"Poa_pra","2","1",1
"Poa_pra","2","1.25",1
"Poa_pra","2","1.5",1
"Poa_pra","2","1.75",1
"Poa_pra","2","2",1
