"Poa_tri"	"Poa_pra"	"Alo_pra"	"Dac_glo"	"Tri_rep"	"Tar_sp"	"Lol_per"	"Arr_ela"	"Fes_rub"	"Fes_pra"	"Tri_fla"	"Ely_rep"	"Tri_pra"	"Ran_rep"	"Bro_ere"	"Ran_acr"	"Bro_hor"	"Pla_lan"	"Ach_mil"	"Ant_syl"	"Her_sph"	"Gal_mol"	"Hol_lan"	"Hel_pub"	"Car_hir"	"Bra_pin"	"Pha_aru"	"Ant_odo"	"Ver_cha"	"Fes_ovi"	"Rum_ace"	"Des_ces"	"Phl_pra"	"Agr_sto"	"Cyn_cri"	"Cir_ole"	"Cre_bie"	"Cer_hol"	"Pla_med"	"Thy_pul"	"Urt_dio"	"Lol_mul"	"Cir_arv"	"Ran_bul"	"Tri_dub"	"Lot_cor"	"Car_car"	"Leo_his"	"Vic_sep"	"Med_lup"	"Pru_sp"
"Poa_tri"	-0.88953194734189	0.0488725130354693	0.0775458670803614	0.113459027403803	0.0984879800011835	-0.13304065363857	-0.170152203217239	-0.139102076860534	-0.0122615289542066	-0.117202685732064	-0.290325480481472	0.103565661167801	0.239307528231485	-0.0299464910651361	-0.0273123245128227	0.417193651415943	-0.149910837758866	-0.285801129976121	-0.0677314765952372	-0.815988838031612	0.394606388820094	0.191677539647516	-0.0974941862947536	-0.100440338633273	-1.22086313445055	-0.0432148407178496	0.145080508923627	-0.379274139717796	-0.121002991007331	-0.0141512530663245	0.248582951483664	0.31384700816921	1.24728848637495	0.589126954861974	0.173400368001755	2.38881409272081	0.216816180381495	2.23587000642534	-0.317110020730027	-0.205663713259859	0.30346169775231	-0.050281828234476	-1.0293721393398	0.0154848341779717	0.334173609890473	0.0703732242210805	-0.508164491609884	-0.123907394833419	0.297146806974509	-0.285531784428606	0.0165246989028727
"Poa_pra"	0.207844542572813	-0.677522158315658	0.0818502413918888	-0.000603967757015125	0.0595369798832849	0.303708579003103	0.183525270026514	0.0732218541369987	0.0758485501250372	0.283073268931107	0.121267948288286	0.147230293853963	0.414815547979052	0.111622434405347	0.0610015443298439	-0.043477933399094	0.206187295667701	0.594932874527255	0.0219363964637263	0.0112203339272967	-0.147567709705383	0.234857827021584	0.523729204051714	0.0281616759857392	0.349549501658925	0.075119327518519	-0.429459435946835	0.305470721089488	-0.0979176731143382	-0.065742421196919	-0.00239542878033802	-0.111161921174393	0.692735190475833	-0.162661295526122	-0.445087013362693	-1.48937880521999	0.153233119330044	-0.609347202684925	-0.100980980465017	0.201765965952727	0.0191856680627347	-0.263587678581027	1.74643253322339	0.163881194497412	-0.00712508017194921	-0.268868856105042	0.52109016177514	0.109741533651158	-0.888631109112222	0.19043314814915	0.188485156523189
"Alo_pra"	0.0311936128974488	-0.0773304421294819	-0.684667240190999	0.00161736489271599	-0.0114017974880319	0.0108320326716968	-0.0109796785800612	0.0252753052362544	0.018002132126048	-0.0709560687825021	0.264402241223172	0.051441479723659	-0.150542486720584	0.274438320651917	0.051096683836665	0.445202573943644	0.0831541947954779	0.240659426515969	0.0822348164147702	-0.123711711112763	-0.782842781231662	-0.109650897278635	-0.290362326469964	-0.173668918628012	-0.205631729097418	0.00191720893994734	0.722285114910748	0.116562601615616	0.203356789039314	-0.0100409681384098	0.0163655827367429	-0.617952017389054	0.255211937221537	-0.17523426508506	-0.516752768792854	0.147921198491597	0.406678587847262	-0.776557489902962	-0.337270522395668	-0.151779532473752	0.0906640962831989	0.0447336360312211	-0.546657019299072	-0.113199357068312	-0.538471973936616	-0.217605712751546	0.00533689179299772	0.00547292323259646	-0.57451769318539	0.20552654737093	0.00382443275522621
"Dac_glo"	0.00432191326800769	-0.0248152387715542	0.0618896609582048	-0.223087012595306	0.196751945678049	0.0790642828986601	0.0630081868627547	0.119325902899617	-0.121713123432424	0.0178847020440504	-0.464061637450017	-0.0105340502353904	0.000611400981489325	0.0211220389460484	0.0510558023552598	-0.0812868679778153	0.461001180914837	-0.522972574416334	-0.12276170222815	-0.384462221910542	0.293500558143077	0.43149002591259	0.0915307522199154	0.249048414376062	0.459068827471844	-0.0711750423621408	0.111975702760205	0.165044395652056	-0.240305643081255	0.0840344591520119	0.250480483802703	0.371134120260504	0.0219987528413191	-0.0617567304711273	-1.63035122154923	0.179372137317028	0.839965227565826	0.698574475389536	0.72963962993216	0.145556410550158	-0.110350005499633	0.149955769468274	0.118332730674219	-0.67821605936726	-0.0155485869154174	0.22782855965993	0.101321726391388	0.117582370444324	0.324045812451186	0.0723079886889991	0.0404077750997929
"Tri_rep"	0.116424615657889	0.237306126197291	0.0905845779515062	0.135998559379633	-0.641011267293593	0.246782243842045	0.370326699349991	0.14956603934258	0.22053580533573	0.126343253053639	0.267856805472691	0.00226327469523822	-0.21557125242812	0.194098279046447	0.15690127444803	0.558335991105973	-0.00205053015629069	0.347053688104772	0.09101328723144	0.16957124167637	0.208704622489169	-0.087954909558324	0.0834019038852497	-0.0478606729879252	0.179089944787431	0.19017388425334	0.106815496309289	0.216989540720854	0.235146435982111	0.269916615496752	0.147092701056575	-0.0828212946230994	-0.682856398547098	0.317510809680845	1.4120824042196	0.107521980872549	0.0462568240499708	-2.94699987963849	0.078170094747342	0.0974268160788059	-0.00465951431803988	0.495196334976054	0.100682425952514	1.32267134163218	-0.06873826676373	0.641210052883706	0.301604276947107	0.22840950801883	-0.116441943265144	0.07662884797381	0.234446888664176
"Tar_sp"	0.0537330498994412	0.0681922326958403	0.0989261425798132	0.216721199366444	0.296690334507349	-0.707414179740394	0.132131719961712	0.0311777859841871	-0.0594123339820516	0.293648645980153	0.115698656716817	0.0890737770197088	0.130111598291922	0.0934795842641991	0.0778423610873859	-0.253743089925631	0.0362891572116086	0.257160546413938	0.304680973841948	0.336673877615228	-0.081057027262177	0.101511943375483	0.0389803783292827	0.129302145053087	-0.10475599229425	0.13688714583131	0.171693737040064	0.225349869806643	-0.131069260435743	-0.069732233626696	0.0721367320480204	0.0347187657585849	-0.808086453979605	0.493215227011534	-0.0648683449942177	0.372476611285478	-0.636650601598927	-0.361752439976232	-0.0118250988921879	0.0982343752472303	-0.0921270127063399	-0.159232428779825	-0.714347097683605	0.878775976401728	0.705617513202533	-0.236561078732173	-0.457741535806009	0.029734464499172	-0.655724598354356	0.653813141714373	0.0611846631525634
"Lol_per"	-0.0168113533473839	-0.0626237773098912	0.0504995319079736	0.127355514695018	-0.0408563540052016	0.185061965866956	-0.362250671189816	-0.0189952059138368	0.0126575367882939	-0.00335379149103182	0.0107432164072095	-0.154653200024919	0.138788282617221	-0.0364095650361817	0.0416773858835054	-0.0772138057581377	0.123442655123335	0.0536727544909815	0.286722971013732	-0.0751571795414301	0.423232615027594	-0.122682842590704	0.0829707807967955	0.0458714047215753	0.319503132580948	-0.0205534612273671	0.157817006995362	0.075993307900557	-0.117154234320667	0.126000571742515	0.185388167891877	0.591102958325735	-0.085445501680577	-0.397807624572397	0.121501555043472	-0.281582848190611	-0.0255564534144523	0.231989692566879	0.0638307374193527	0.0894519076429666	-0.029748787385976	0.346613646627843	0.73145943915453	-0.971071312021179	-0.38824171955798	-0.696987948757465	0.532808857775465	-0.0624033089031761	0.232634643335928	0.566231227700213	-0.0610204469405188
"Arr_ela"	0.0553424733586541	0.0712611033289513	0.0338062009239785	-0.0469949354284279	-0.016294862458084	0.0177701837760819	-0.0602403525865797	-0.326758123109192	-0.0569767592298157	-0.0665957877553978	-0.0156793898653908	-0.0619519670510299	-0.450697285676042	-0.0819221738650121	-0.0118259044727756	0.597319873537768	-0.186214138405195	0.176533653220385	0.163733764817057	0.308298988745626	0.12597132998401	-0.179011896070463	0.139263902505601	-0.18508171063459	-0.0877972131703832	-0.082504609724528	0.20518600010146	-0.182619322882642	1.15584589581825	-0.0272459064259038	-0.247044415112416	0.285172317242028	-0.40269913377804	-0.0806560917017173	-0.401352085924344	-0.558471477516536	-0.18952977388392	1.17316419815757	0.0503308414088115	-0.132462422661884	-0.0438093199433938	-0.0201657080284604	0.134014567269268	0.82045340993363	-0.324101097224119	-0.591340484531916	-1.42061943401759	-0.0640263235286978	0.0115758139561889	-0.00462955617358629	-0.210521891936151
"Fes_rub"	-0.00176086283120868	0.0310839710353826	0.0281454750226575	0.0464235674649284	-0.0514783346071309	-0.00168143081982645	0.0366465632000263	0.0496112496929429	-0.212738447454747	0.0734177783228524	0.128404333680685	-0.00972205418235066	0.180640967289879	0.0583731322023029	0.00868116074814399	0.181580374538446	0.14561411039476	0.411691210565158	-0.129391244841535	0.0354643077795354	-0.0782384904915168	0.030307583080904	0.0201690344340707	0.268435873090791	0.153505672846978	0.195597764057724	0.0517652734273932	0.098009377004642	-0.0381497852146872	-0.193425491833098	0.665352576167538	0.286254559578216	0.141563704967731	-0.0761048380631226	0.561858902838015	-0.0107671658178818	-0.400088659409432	-0.151131892602869	0.37823055835297	-0.164096109714211	-0.267534449941358	0.0078270918493832	0.0829313871084504	0.166494289290446	-0.065306089193935	0.180608472912293	0.122315710690061	-0.0724406640637287	1.28551526667979	0.0387564181952377	0.00740890567893635
"Fes_pra"	0.0456144844871307	0.104970470443374	0.00955136705689583	0.124393467530207	0.0455298062302612	0.103126376514432	0.00136245713259464	-0.0528708329427356	0.00404817063906781	-1.11259716722797	0.114268290484689	-0.00296949045101325	0.164454021691821	0.134809357561262	0.025770879065371	0.0916359882260335	0.002811290511056	0.242099554601944	0.202289547817936	0.159441567583344	-0.093075803429949	0.48300825912059	0.125286412747223	0.111428017106848	-0.104071868662075	0.16052749737165	0.0747415700048709	0.152244406155459	-0.150466302088289	0.0968432235436485	0.0389129809438884	0.945174892687129	0.118519892079148	-0.0262471359928053	0.0846548623476316	0.238749367632507	0.0144784637696772	-0.0666027032440306	0.172761824321795	0.125774956620658	-0.00357034297817821	0.697588612434822	0.0255680734195108	0.276005016366209	0.300377117288754	-0.176230811934649	0.290468195012237	-0.409770732850542	0.691609580262517	-0.0170696051508348	-0.440384346520552
