"Omega"	"theta"	"differential"	"overlap"	"feasibility"	"1_2"	"1_3"	"2_3"	"coex_rate"	"treatment"	"combos"
0.335451386021841	155.906185433284	0	0	0	0	0	0	0	0.5	"Alo_pra_Fes_pra_Her_sph"
0.862722273868928	148.551687563539	0	0	0	0	0	0	0	0.5	"Alo_pra_Fes_pra_Gal_mol"
0.844561694884047	153.944995977466	0	0	0	0	0	0	0	0.5	"Alo_pra_Fes_pra_Hol_lan"
0.792802864469638	160.740197286459	0	0	0	0	0	0	0	0.5	"Alo_pra_Fes_pra_Hel_pub"
1.01317308148234	160.925414676201	0	0	0	0	0	0	0	0.5	"Alo_pra_Fes_pra_Car_hir"
0.873546846227669	173.391606019076	0	0	0	0	0	0	0	0.5	"Alo_pra_Fes_pra_Bra_pin"
0.809537608288676	146.653370343174	0	0	0	0	0	0	0	0.5	"Alo_pra_Tri_pra_Ran_rep"
1.03810394153948	138.791956768918	0	0	0	0	0	0	0	0.5	"Alo_pra_Tri_pra_Bro_ere"
1.23423131358171	130.156625076374	0	0	0	0	0	0	0	0.5	"Alo_pra_Tri_pra_Bro_hor"
1.10032276035253	148.336719107607	0	0	0	0	0	0	0	0.5	"Alo_pra_Tri_pra_Pla_lan"
1.02418443829432	136.840070595643	0	0	0	0	0	0	0	0.5	"Alo_pra_Tri_pra_Ach_mil"
0.321248343619189	156.741017391641	0	0	0	0	0	0	0	0.5	"Alo_pra_Tri_pra_Her_sph"
0.822114327539505	144.001320526155	0	0	0	0	0	0	0	0.5	"Alo_pra_Tri_pra_Gal_mol"
0.776183253724651	147.516227863543	0	0	0	0	0	0	0	0.5	"Alo_pra_Tri_pra_Hol_lan"
0.768782576069194	155.260993520439	0	0	0	0	0	0	0	0.5	"Alo_pra_Tri_pra_Hel_pub"
0.934504013914247	148.431527715604	0	0	0	0	0	0	0	0.5	"Alo_pra_Tri_pra_Car_hir"
0.787842466454164	152.698450286917	0	0	0	0	0	0	0	0.5	"Alo_pra_Tri_pra_Bra_pin"
0.931444162980298	147.808262596323	0	0	0	0	0	0	0	0.5	"Alo_pra_Ran_rep_Bro_hor"
0.984198971540443	151.314249427708	0	0	0	0	0	0	0	0.5	"Alo_pra_Ran_rep_Pla_lan"
0.797297406986835	150.670208655013	0	0	0	0	0	0	0	0.5	"Alo_pra_Ran_rep_Ach_mil"
0.299515562852332	146.634879453561	0	0	0	0	0	0	0	0.5	"Alo_pra_Ran_rep_Her_sph"
0.713191244299323	147.42567601148	0	0	0	0	0	0	0	0.5	"Alo_pra_Ran_rep_Gal_mol"
0.703281290375879	149.458924261198	0	0	0	0	0	0	0	0.5	"Alo_pra_Ran_rep_Hol_lan"
0.329249783230757	170.000696288725	0	0	0	0	0	0	0	0.5	"Alo_pra_Ran_rep_Hel_pub"
0.918639924304135	151.204430785974	0	0	0	0	0	0	0	0.5	"Alo_pra_Ran_rep_Car_hir"
1.320176571767	122.497808124231	0	0	0	0	0	0	0	0.5	"Alo_pra_Bro_ere_Bro_hor"
1.08909451056446	140.16908302597	0	0	0	0	0	0	0	0.5	"Alo_pra_Bro_ere_Pla_lan"
1.14996898381845	130.893744522147	0	0	0	0	0	0	0	0.5	"Alo_pra_Bro_ere_Ach_mil"
0.467923879497068	159.984605199674	0	0	0	0	0	0	0	0.5	"Alo_pra_Bro_ere_Her_sph"
0.93901642020566	139.041160546897	0	0	0	0	0	0	0	0.5	"Alo_pra_Bro_ere_Gal_mol"
0.907860998156136	143.629080131379	0	0	0	0	0	0	0	0.5	"Alo_pra_Bro_ere_Hol_lan"
0.848763522449617	151.158121657155	0	0	0	0	0	0	0	0.5	"Alo_pra_Bro_ere_Hel_pub"
0.977374122763088	154.255076548092	0	0	0	0	0	0	0	0.5	"Alo_pra_Bro_ere_Bra_pin"
1.30398829266405	132.718499148505	0	0	0	0	0	0	0	0.5	"Alo_pra_Bro_hor_Pla_lan"
1.4186991630188	123.01394355738	0	0	0	0	0	0	0	0.5	"Alo_pra_Bro_hor_Ach_mil"
0.481934859224499	147.225288384418	0	0	0	0	0	0	0	0.5	"Alo_pra_Bro_hor_Her_sph"
1.10128658173248	130.653761713631	0	0	0	0	0	0	0	0.5	"Alo_pra_Bro_hor_Gal_mol"
1.00306581320272	133.423409018263	0	0	0	0	0	0	0	0.5	"Alo_pra_Bro_hor_Hol_lan"
1.18293761223007	148.090442435462	0	0	0	0	0	0	0	0.5	"Alo_pra_Bro_hor_Hel_pub"
1.4180109430375	140.077645203755	0	0	0	0	0	0	0	0.5	"Alo_pra_Bro_hor_Car_hir"
1.12333893576857	139.131845168713	0	0	0	0	0	0	0	0.5	"Alo_pra_Pla_lan_Ach_mil"
0.397720602126976	163.713668894092	0	0	0	0	0	0	0	0.5	"Alo_pra_Pla_lan_Her_sph"
0.931897988276637	146.094514096761	0	0	0	0	0	0	0	0.5	"Alo_pra_Pla_lan_Gal_mol"
0.916743724509721	150.172024822296	0	0	0	0	0	0	0	0.5	"Alo_pra_Pla_lan_Hol_lan"
0.861719759627369	160.695070733535	0	0	0	0	0	0	0	0.5	"Alo_pra_Pla_lan_Hel_pub"
1.19583966857267	155.596303835264	0	0	0	0	0	0	0	0.5	"Alo_pra_Pla_lan_Car_hir"
0.945655234250924	159.764023373361	0	0	0	0	0	0	0	0.5	"Alo_pra_Pla_lan_Bra_pin"
0.401892703227059	152.896049737511	0	0	0	0	0	0	0	0.5	"Alo_pra_Ach_mil_Her_sph"
0.921890717927568	136.715168998346	0	0	0	0	0	0	0	0.5	"Alo_pra_Ach_mil_Gal_mol"
1.06450547376458	145.887885896597	0	0	0	0	0	0	0	0.5	"Alo_pra_Ach_mil_Hol_lan"
0.853073802841997	149.574410518241	0	0	0	0	0	0	0	0.5	"Alo_pra_Ach_mil_Hel_pub"
1.15105434949738	144.151855623187	0	0	0	0	0	0	0	0.5	"Alo_pra_Ach_mil_Car_hir"
0.910828946590217	151.081059340747	0	0	0	0	0	0	0	0.5	"Alo_pra_Ach_mil_Bra_pin"
0.317363486379985	158.725168449145	0	0	0	0	0	0	0	0.5	"Alo_pra_Her_sph_Gal_mol"
0.286867689106372	161.058859615693	0	0	0	0	0	0	0	0.5	"Alo_pra_Her_sph_Hol_lan"
