"species","LUI","SND","SFD","Type"
"Arr_ela.Bra_pin","0.5",0.913838446767172,11.9910642052191,"Predicted"
"Arr_ela.Pha_aru","0.5",1.1123654585391,20.659416716336,"Predicted"
"Arr_ela.Ant_odo","0.5",0.863079937187918,39.2471652494433,"Predicted"
"Arr_ela.Ver_cha","0.5",1.47419570224473,28.0447046284492,"Predicted"
"Arr_ela.Fes_ovi","0.5",0.906804441343308,10.3225587836282,"Predicted"
"Arr_ela.Rum_ace","0.5",0.803010622117419,9.06362636581992,"Predicted"
"Arr_ela.Des_ces","0.5",1.08455422308303,25.7861465186764,"Predicted"
"Arr_ela.Agr_sto","0.5",0.950337359583091,23.40644263517,"Predicted"
"Arr_ela.Cre_bie","0.5",0.516323436582454,3.69333700271952,"Predicted"
"Arr_ela.Pla_med","0.5",1.04342235815328,42.1559845544715,"Predicted"
"Arr_ela.Thy_pul","0.5",0.833071418719672,9.30392913896161,"Predicted"
"Arr_ela.Lol_mul","0.5",0.918257982290057,1.58638887144587,"Predicted"
"Arr_ela.Tri_dub","0.5",0.909183855473473,25.1638419707327,"Predicted"
"Arr_ela.Lot_cor","0.5",0.432638611706282,21.3886539867083,"Predicted"
"Arr_ela.Car_car","0.5",0.00291357485105579,8.26957013439217,"Predicted"
"Arr_ela.Leo_his","0.5",0.700444991881971,14.8958506502418,"Predicted"
"Arr_ela.Vic_sep","0.5",0.942128614330462,35.1490382174742,"Predicted"
"Arr_ela.Med_lup","0.5",0.996212261917162,37.6425360078428,"Predicted"
"Tri_pra.Ran_rep","0.5",0.962464768058537,42.1231207115619,"Predicted"
"Tri_pra.Bro_ere","0.5",0.935372949018546,13.4228450797823,"Predicted"
"Tri_pra.Ran_acr","0.5",1.07349503873183,27.754170576913,"Predicted"
"Tri_pra.Pla_lan","0.5",1.08073660290236,27.4887463798535,"Predicted"
"Tri_pra.Ach_mil","0.5",1.00438387592632,46.0495957345151,"Predicted"
"Tri_pra.Ant_syl","0.5",0.963218203229415,19.9549040662849,"Predicted"
"Tri_pra.Her_sph","0.5",0.886865095265694,30.196862060875,"Predicted"
"Tri_pra.Hel_pub","0.5",0.892698825199021,9.22542565470734,"Predicted"
"Tri_pra.Bra_pin","0.5",0.884555525044112,3.09932493866768,"Predicted"
"Tri_pra.Ant_odo","0.5",0.971349932270972,40.4871841199784,"Predicted"
"Tri_pra.Ver_cha","0.5",0.84759888112479,18.2084831069163,"Predicted"
"Tri_pra.Fes_ovi","0.5",0.92765478565954,0.885702776997509,"Predicted"
"Tri_pra.Rum_ace","0.5",1.00188233184099,27.8981703108693,"Predicted"
"Tri_pra.Des_ces","0.5",0.923125420914504,27.8475236304797,"Predicted"
"Tri_pra.Agr_sto","0.5",1.01003605115509,36.1149224471275,"Predicted"
"Tri_pra.Cre_bie","0.5",0.97927577349877,26.1154530291474,"Predicted"
"Tri_pra.Pla_med","0.5",0.905797369290687,38.6228856530448,"Predicted"
"Tri_pra.Thy_pul","0.5",0.738747205172603,2.87025342908812,"Predicted"
"Tri_pra.Lol_mul","0.5",1.00921423708531,14.4828026236811,"Predicted"
"Tri_pra.Tri_dub","0.5",0.943466245341008,36.7452174670081,"Predicted"
"Tri_pra.Lot_cor","0.5",0.786023932247197,8.99370461875876,"Predicted"
"Tri_pra.Car_car","0.5",0.00111289260285766,3.60974431628919,"Predicted"
"Tri_pra.Leo_his","0.5",0.778314698163147,2.33917919111387,"Predicted"
"Tri_pra.Vic_sep","0.5",0.707486192462546,27.2447794000759,"Predicted"
"Tri_pra.Med_lup","0.5",0.894197395716683,34.7701977727103,"Predicted"
"Ran_rep.Bro_ere","0.5",0.947489390757942,41.5044933321912,"Predicted"
"Ran_rep.Ran_acr","0.5",0.920588932989854,40.9013863220679,"Predicted"
"Ran_rep.Pla_lan","0.5",0.923790782894292,42.1168511961262,"Predicted"
"Ran_rep.Ach_mil","0.5",0.957321100277193,27.3078229004182,"Predicted"
"Ran_rep.Ant_syl","0.5",0.923268095235789,40.9568941408382,"Predicted"
"Ran_rep.Her_sph","0.5",1.10813930257662,29.9953154389526,"Predicted"
"Ran_rep.Hel_pub","0.5",0.887932011162812,43.6219857139568,"Predicted"
"Ran_rep.Bra_pin","0.5",0.943017396721099,41.7212315197063,"Predicted"
"Ran_rep.Pha_aru","0.5",1.03776519995422,32.7446001599325,"Predicted"
"Ran_rep.Ant_odo","0.5",0.965677779157567,17.4297394644345,"Predicted"
"Ran_rep.Ver_cha","0.5",1.04396772812474,36.6826651123012,"Predicted"
"Ran_rep.Fes_ovi","0.5",0.964726208211853,40.9256046079309,"Predicted"
"Ran_rep.Rum_ace","0.5",1.17657337266096,30.1359760896568,"Predicted"
"Ran_rep.Des_ces","0.5",1.00373394193015,36.2210861176771,"Predicted"
"Ran_rep.Agr_sto","0.5",1.06162481640588,32.5076282778654,"Predicted"
"Ran_rep.Cre_bie","0.5",0.631206068217249,51.4182226405525,"Predicted"
"Ran_rep.Pla_med","0.5",1.05332326462732,2.22801764980951,"Predicted"
"Ran_rep.Thy_pul","0.5",0.955258412730612,41.7935575286674,"Predicted"
"Ran_rep.Lol_mul","0.5",0.997634102057746,29.7054704503528,"Predicted"
