"Plot"	"Year"	"LUI"	"rich_full"
"AEG19"	"2013"	1.79	22
"AEG20"	"2013"	0.59	25
"AEG21"	"2013"	3.21	26
"AEG22"	"2013"	1.39	45
"AEG23"	"2013"	1.76	31
"AEG24"	"2013"	2.69	22
"AEG25"	"2013"	0.53	51
"AEG26"	"2013"	1.34	48
"AEG27"	"2013"	1.05	45
"AEG28"	"2013"	1.2	52
"AEG29"	"2013"	1.97	42
"AEG30"	"2013"	1.8	40
"AEG31"	"2013"	1.52	40
"AEG32"	"2013"	0.89	32
"AEG33"	"2013"	1.09	40
"AEG34"	"2013"	1.46	30
"AEG35"	"2013"	1.94	26
"AEG36"	"2013"	1.88	28
"AEG37"	"2013"	2.34	25
"AEG38"	"2013"	1.39	34
"AEG39"	"2013"	2.3	21
"AEG40"	"2013"	2.55	34
"AEG41"	"2013"	3.2	26
"AEG42"	"2013"	1.94	31
"AEG43"	"2013"	1.39	23
"AEG44"	"2013"	1.1	34
"AEG45"	"2013"	1.64	24
"AEG46"	"2013"	1.68	32
"AEG47"	"2013"	0.72	42
"AEG48"	"2013"	0.65	39
"AEG49"	"2013"	1.1	41
"AEG50"	"2013"	1.64	26
"HEG01"	"2013"	3.02	21
"HEG02"	"2013"	2.1	22
"HEG03"	"2013"	2.88	21
"HEG04"	"2013"	2.23	15
"HEG05"	"2013"	2.57	23
"HEG06"	"2013"	1.57	28
"HEG07"	"2013"	1.13	40
"HEG08"	"2013"	1.13	31
"HEG09"	"2013"	0.68	58
"HEG10"	"2013"	2.25	33
"HEG11"	"2013"	2.25	29
"HEG12"	"2013"	3.41	23
"HEG13"	"2013"	1.88	21
"HEG14"	"2013"	2.18	35
"HEG15"	"2013"	2.17	26
"HEG16"	"2013"	1.03	34
"HEG17"	"2013"	0.5	39
"HEG18"	"2013"	1.12	51
"HEG19"	"2013"	0.5	37
"HEG20"	"2013"	0.86	51
"HEG21"	"2013"	0.58	33
"HEG22"	"2013"	1.49	23
"HEG23"	"2013"	1.21	44
"HEG24"	"2013"	1.46	33
"HEG25"	"2013"	1.1	41
"HEG26"	"2013"	0.98	21
"HEG27"	"2013"	1.81	37
"HEG28"	"2013"	1.39	35
"HEG29"	"2013"	1.39	35
"HEG30"	"2013"	2.61	26
"HEG31"	"2013"	2.46	41
"HEG32"	"2013"	1.95	13
"HEG33"	"2013"	1.59	23
"HEG34"	"2013"	1.57	24
"HEG35"	"2013"	2.39	26
"HEG36"	"2013"	3.03	31
"HEG37"	"2013"	3.03	29
"HEG38"	"2013"	2.61	36
"HEG39"	"2013"	1	26
"HEG40"	"2013"	1.6	29
"HEG41"	"2013"	0.86	58
"HEG42"	"2013"	0.63	57
"HEG43"	"2013"	1.19	70
"HEG44"	"2013"	0.5	46
"HEG45"	"2013"	0.79	38
"HEG46"	"2013"	0.73	42
"HEG47"	"2013"	1.39	31
"HEG48"	"2013"	0.98	30
"HEG49"	"2013"	1.39	40
"HEG50"	"2013"	1.07	34
"SEG01"	"2013"	1.39	20
"SEG02"	"2013"	1.39	18
"SEG03"	"2013"	1.39	20
"SEG04"	"2013"	0.94	23
"SEG05"	"2013"	0.98	20
"SEG06"	"2013"	1.35	18
"SEG07"	"2013"	1.65	19
"SEG08"	"2013"	2.02	20
"SEG09"	"2013"	1.92	19
"SEG10"	"2013"	1.55	20
"SEG11"	"2013"	1.45	25
"SEG12"	"2013"	1.39	17
"SEG13"	"2013"	1.7	28
"SEG14"	"2013"	1.27	17
"SEG15"	"2013"	1.39	22
"SEG16"	"2013"	1.6	23
"SEG17"	"2013"	1.44	21
"SEG18"	"2013"	1.39	31
"SEG19"	"2013"	1.08	15
"SEG20"	"2013"	1.73	20
"SEG21"	"2013"	1.7	21
"SEG22"	"2013"	2.3	21
"SEG23"	"2013"	2.32	12
"SEG24"	"2013"	0.98	22
"SEG25"	"2013"	1.39	28
"SEG26"	"2013"	2.32	20
"SEG27"	"2013"	0.98	22
"SEG28"	"2013"	1.39	15
"SEG29"	"2013"	0.98	20
"SEG30"	"2013"	1.39	24
"SEG31"	"2013"	1.39	24
"SEG32"	"2013"	1.39	23
"SEG33"	"2013"	1.48	0
"SEG34"	"2013"	1.13	24
"SEG35"	"2013"	1.57	22
"SEG36"	"2013"	1.32	27
"SEG37"	"2013"	1.93	32
"SEG38"	"2013"	1.47	29
"SEG39"	"2013"	0.93	26
"SEG40"	"2013"	1.76	30
"SEG41"	"2013"	1.96	22
"SEG42"	"2013"	2.69	26
"SEG43"	"2013"	1.62	28
"SEG44"	"2013"	1.34	24
"SEG45"	"2013"	1.54	34
"SEG46"	"2013"	2.81	22
"SEG47"	"2013"	1.6	21
"SEG48"	"2013"	1.7	13
"SEG49"	"2013"	1.17	32
"SEG50"	"2013"	0.95	27
"AEG01"	"2014"	2.4	31
"AEG02"	"2014"	3.49	18
"AEG03"	"2014"	1.37	29
"AEG04"	"2014"	1.77	18
"AEG05"	"2014"	2	24
"AEG06"	"2014"	2.27	32
"AEG07"	"2014"	0.42	47
"AEG08"	"2014"	1.17	43
"AEG09"	"2014"	0.72	47
"AEG10"	"2014"	0	46
"AEG11"	"2014"	2.22	33
"AEG12"	"2014"	2.05	30
"AEG13"	"2014"	2.34	21
"AEG14"	"2014"	2.32	27
"AEG15"	"2014"	2.68	24
"AEG16"	"2014"	1.36	33
"AEG17"	"2014"	1.63	37
"AEG18"	"2014"	2.59	23
"AEG19"	"2014"	1.69	25
"AEG20"	"2014"	0.97	27
"AEG21"	"2014"	2.16	23
"AEG22"	"2014"	1.55	48
"AEG23"	"2014"	1.34	32
"AEG24"	"2014"	2.64	22
"AEG25"	"2014"	0.56	51
"AEG26"	"2014"	1.31	50
"AEG27"	"2014"	1.14	47
"AEG28"	"2014"	1.2	55
"AEG29"	"2014"	1.27	40
"AEG30"	"2014"	1.62	41
"AEG31"	"2014"	1.3	42
"AEG32"	"2014"	0.79	30
"AEG33"	"2014"	1.06	41
"AEG34"	"2014"	1.54	32
"AEG35"	"2014"	2.42	21
"AEG36"	"2014"	2.42	28
"AEG37"	"2014"	1.82	26
"AEG38"	"2014"	1.34	32
"AEG39"	"2014"	1.82	23
"AEG40"	"2014"	1.71	31
"AEG41"	"2014"	2.52	25
"AEG42"	"2014"	2.13	26
"AEG43"	"2014"	1.34	0
"AEG44"	"2014"	1.33	31
"AEG45"	"2014"	1.56	23
"AEG46"	"2014"	1.48	30
"AEG47"	"2014"	0.84	41
"AEG48"	"2014"	0.7	42
"AEG49"	"2014"	1.09	43
"AEG50"	"2014"	1.45	0
"HEG01"	"2014"	2.88	15
"HEG02"	"2014"	1.03	11
"HEG03"	"2014"	3.01	22
"HEG04"	"2014"	3.64	14
"HEG05"	"2014"	2.42	23
"HEG06"	"2014"	2.27	25
"HEG07"	"2014"	1.31	36
"HEG08"	"2014"	1.31	34
"HEG09"	"2014"	0.92	55
"HEG10"	"2014"	1.47	31
"HEG11"	"2014"	1.11	34
"HEG12"	"2014"	3.86	22
"HEG13"	"2014"	1.42	23
"HEG14"	"2014"	2.07	31
"HEG15"	"2014"	2.11	29
"HEG16"	"2014"	1.04	40
"HEG17"	"2014"	0.89	46
"HEG18"	"2014"	0.57	49
"HEG19"	"2014"	0.89	40
"HEG20"	"2014"	1.08	44
"HEG21"	"2014"	0.57	33
"HEG22"	"2014"	2.09	22
"HEG23"	"2014"	0.95	42
"HEG24"	"2014"	1.19	37
"HEG25"	"2014"	1.11	40
"HEG26"	"2014"	2.06	21
"HEG27"	"2014"	1.92	36
"HEG28"	"2014"	1.34	40
"HEG29"	"2014"	1.48	40
"HEG30"	"2014"	2.3	29
"HEG31"	"2014"	2.11	46
"HEG32"	"2014"	1.88	20
"HEG33"	"2014"	1.57	26
"HEG34"	"2014"	2.44	23
"HEG35"	"2014"	2.97	25
"HEG36"	"2014"	2.87	26
"HEG37"	"2014"	2.79	21
"HEG38"	"2014"	2.08	39
"HEG39"	"2014"	1.29	23
"HEG40"	"2014"	1.57	26
"HEG41"	"2014"	1.08	58
"HEG42"	"2014"	1.04	52
"HEG43"	"2014"	0.82	68
"HEG44"	"2014"	1.41	43
"HEG45"	"2014"	0.65	42
"HEG46"	"2014"	1.18	38
"HEG47"	"2014"	2.19	35
"HEG48"	"2014"	2.27	26
"HEG49"	"2014"	2.27	34
"HEG50"	"2014"	1.06	34
"SEG01"	"2014"	0.95	21
"SEG02"	"2014"	1.35	16
"SEG03"	"2014"	1.37	17
"SEG04"	"2014"	1.23	21
"SEG05"	"2014"	0	18
"SEG06"	"2014"	1.39	22
"SEG07"	"2014"	1.21	17
"SEG08"	"2014"	2.67	23
"SEG09"	"2014"	2.15	19
"SEG10"	"2014"	1.37	21
"SEG11"	"2014"	0.99	27
"SEG12"	"2014"	0.95	18
"SEG13"	"2014"	1.04	28
"SEG14"	"2014"	1.29	18
"SEG15"	"2014"	0.95	23
"SEG16"	"2014"	0.95	21
"SEG17"	"2014"	1.07	17
"SEG18"	"2014"	1.34	21
"SEG19"	"2014"	1.52	18
"SEG20"	"2014"	1.92	20
"SEG21"	"2014"	1.74	19
"SEG22"	"2014"	1.7	20
"SEG23"	"2014"	2.36	12
"SEG24"	"2014"	0.95	24
"SEG25"	"2014"	1.34	19
"SEG26"	"2014"	2.36	25
"SEG27"	"2014"	0.95	18
"SEG28"	"2014"	0.95	16
"SEG29"	"2014"	0.95	23
"SEG30"	"2014"	1.34	27
"SEG31"	"2014"	1.34	24
"SEG32"	"2014"	1.34	23
"SEG33"	"2014"	1.9	20
"SEG34"	"2014"	1.6	24
"SEG35"	"2014"	1.25	22
"SEG36"	"2014"	1.29	24
"SEG37"	"2014"	1.47	33
"SEG38"	"2014"	1.7	29
"SEG39"	"2014"	1.34	28
"SEG40"	"2014"	2.02	30
"SEG41"	"2014"	1.77	20
"SEG42"	"2014"	2.01	28
"SEG43"	"2014"	1.72	25
"SEG44"	"2014"	2.21	23
"SEG45"	"2014"	1.48	26
"SEG46"	"2014"	1.78	18
"SEG47"	"2014"	1.6	20
"SEG48"	"2014"	1.91	31
"SEG49"	"2014"	1.56	27
"SEG50"	"2014"	1.52	26
"AEG01"	"2015"	NA	28
"AEG02"	"2015"	NA	23
"AEG03"	"2015"	NA	30
"AEG04"	"2015"	NA	20
"AEG05"	"2015"	NA	23
"AEG06"	"2015"	NA	32
"AEG07"	"2015"	NA	42
"AEG08"	"2015"	NA	46
"AEG09"	"2015"	NA	51
"AEG10"	"2015"	NA	39
"AEG11"	"2015"	NA	34
"AEG12"	"2015"	NA	34
"AEG13"	"2015"	NA	22
"AEG14"	"2015"	NA	27
"AEG15"	"2015"	NA	26
"AEG16"	"2015"	NA	35
"AEG17"	"2015"	NA	36
"AEG18"	"2015"	NA	22
"AEG19"	"2015"	NA	23
"AEG20"	"2015"	NA	25
"AEG21"	"2015"	NA	24
"AEG22"	"2015"	NA	45
"AEG23"	"2015"	NA	29
"AEG24"	"2015"	NA	22
"AEG25"	"2015"	NA	55
"AEG26"	"2015"	NA	53
"AEG27"	"2015"	NA	51
"AEG28"	"2015"	NA	54
"AEG29"	"2015"	NA	43
"AEG30"	"2015"	NA	44
"AEG31"	"2015"	NA	40
"AEG32"	"2015"	NA	28
"AEG33"	"2015"	NA	39
"AEG34"	"2015"	NA	36
"AEG35"	"2015"	NA	24
"AEG36"	"2015"	NA	26
"AEG37"	"2015"	NA	27
"AEG38"	"2015"	NA	32
"AEG39"	"2015"	NA	23
"AEG40"	"2015"	NA	36
"AEG41"	"2015"	NA	25
"AEG42"	"2015"	NA	25
"AEG43"	"2015"	NA	24
"AEG44"	"2015"	NA	32
"AEG45"	"2015"	NA	21
"AEG46"	"2015"	NA	32
"AEG47"	"2015"	NA	47
"AEG48"	"2015"	NA	44
"AEG49"	"2015"	NA	23
"AEG50"	"2015"	NA	29
"HEG01"	"2015"	3.29	15
"HEG02"	"2015"	3.04	18
"HEG03"	"2015"	3.04	19
"HEG04"	"2015"	3.22	14
"HEG05"	"2015"	3.28	21
"HEG06"	"2015"	1.55	31
"HEG07"	"2015"	1.6	36
"HEG08"	"2015"	1.6	38
"HEG09"	"2015"	0.82	54
"HEG10"	"2015"	2.63	30
"HEG11"	"2015"	1.09	31
"HEG12"	"2015"	2.5	23
"HEG13"	"2015"	1.78	20
"HEG14"	"2015"	2.29	40
"HEG15"	"2015"	2.49	31
"HEG16"	"2015"	1.21	34
"HEG17"	"2015"	1.19	36
"HEG18"	"2015"	0.5	49
"HEG19"	"2015"	0.48	31
"HEG20"	"2015"	0.82	48
"HEG21"	"2015"	0.55	40
"HEG22"	"2015"	1.58	21
"HEG23"	"2015"	1.09	41
"HEG24"	"2015"	1.21	34
"HEG25"	"2015"	1.19	38
"HEG26"	"2015"	1.54	24
"HEG27"	"2015"	2.14	39
"HEG28"	"2015"	1.19	41
"HEG29"	"2015"	1.19	38
"HEG30"	"2015"	3.4	27
"HEG31"	"2015"	1.3	46
"HEG32"	"2015"	2.17	17
"HEG33"	"2015"	1.31	25
"HEG34"	"2015"	2.45	24
"HEG35"	"2015"	2.83	26
"HEG36"	"2015"	0.84	29
"HEG37"	"2015"	2.93	19
"HEG38"	"2015"	1.48	35
"HEG39"	"2015"	1.64	21
"HEG40"	"2015"	1.07	27
"HEG41"	"2015"	0.82	59
"HEG42"	"2015"	0.22	55
"HEG43"	"2015"	1.29	68
"HEG44"	"2015"	1.28	49
"HEG45"	"2015"	0.85	40
"HEG46"	"2015"	1.34	37
"HEG47"	"2015"	1.45	29
"HEG48"	"2015"	1.57	29
"HEG49"	"2015"	1.54	31
"HEG50"	"2015"	2.92	37
"SEG01"	"2015"	1.09	16
"SEG02"	"2015"	1.35	18
"SEG03"	"2015"	1.48	15
"SEG04"	"2015"	1.09	23
"SEG05"	"2015"	1.09	13
"SEG06"	"2015"	1.23	21
"SEG07"	"2015"	1.38	17
"SEG08"	"2015"	1.56	23
"SEG09"	"2015"	1.64	18
"SEG10"	"2015"	1.49	17
"SEG11"	"2015"	0.92	25
"SEG12"	"2015"	1.09	16
"SEG13"	"2015"	0.93	30
"SEG14"	"2015"	1.21	19
"SEG15"	"2015"	1.09	22
"SEG16"	"2015"	0.87	19
"SEG17"	"2015"	1.61	19
"SEG18"	"2015"	1.54	24
"SEG19"	"2015"	1.27	19
"SEG20"	"2015"	1.86	16
"SEG21"	"2015"	1.92	22
"SEG22"	"2015"	1.26	20
"SEG23"	"2015"	1.54	14
"SEG24"	"2015"	1.09	25
"SEG25"	"2015"	1.54	13
"SEG26"	"2015"	1.54	28
"SEG27"	"2015"	1.54	15
"SEG28"	"2015"	1.09	16
"SEG29"	"2015"	1.09	23
"SEG30"	"2015"	1.54	31
"SEG31"	"2015"	1.54	28
"SEG32"	"2015"	1.54	24
"SEG33"	"2015"	1.5	23
"SEG34"	"2015"	0.95	25
"SEG35"	"2015"	0.92	22
"SEG36"	"2015"	1.19	25
"SEG37"	"2015"	1.44	31
"SEG38"	"2015"	2.24	32
"SEG39"	"2015"	1.14	27
"SEG40"	"2015"	2.15	42
"SEG41"	"2015"	2.82	34
"SEG42"	"2015"	1.15	25
"SEG43"	"2015"	3.01	24
"SEG44"	"2015"	2.49	23
"SEG45"	"2015"	1.47	25
"SEG46"	"2015"	2.54	22
"SEG47"	"2015"	1.43	28
"SEG48"	"2015"	2.05	32
"SEG49"	"2015"	1.2	31
"SEG50"	"2015"	1.07	33
