"Plot"	"Year"	"LUI"	"rich_full"
"AEG27"	"2009"	0.96	46
"AEG28"	"2009"	0.66	54
"AEG29"	"2009"	1.58	42
"AEG30"	"2009"	1.69	27
"AEG31"	"2009"	1.33	36
"AEG32"	"2009"	0.55	26
"AEG33"	"2009"	0.9	35
"AEG34"	"2009"	0.97	28
"AEG35"	"2009"	1.74	22
"AEG36"	"2009"	1.73	25
"AEG37"	"2009"	2.17	28
"AEG38"	"2009"	1.44	31
"AEG39"	"2009"	2.17	21
"AEG40"	"2009"	2.1	26
"AEG41"	"2009"	2.23	26
"AEG42"	"2009"	1.86	22
"AEG43"	"2009"	2.03	22
"AEG44"	"2009"	2.03	26
"AEG45"	"2009"	1.44	24
"AEG46"	"2009"	1.84	29
"AEG47"	"2009"	0.63	46
"AEG48"	"2009"	0.65	42
"AEG49"	"2009"	1.06	41
"AEG50"	"2009"	2.19	20
"HEG01"	"2009"	3.11	14
"HEG02"	"2009"	2.79	21
"HEG03"	"2009"	2.79	19
"HEG04"	"2009"	2.22	20
"HEG05"	"2009"	2.51	0
"HEG06"	"2009"	2.12	25
"HEG07"	"2009"	1.47	32
"HEG08"	"2009"	1.17	28
"HEG09"	"2009"	0.77	55
"HEG10"	"2009"	1.02	29
"HEG11"	"2009"	1.02	33
"HEG12"	"2009"	3.47	25
"HEG13"	"2009"	1.65	19
"HEG14"	"2009"	1.68	30
"HEG15"	"2009"	1.72	26
"HEG16"	"2009"	1.28	34
"HEG17"	"2009"	0.72	46
"HEG18"	"2009"	0.72	54
"HEG19"	"2009"	0.72	36
"HEG20"	"2009"	0.74	36
"HEG21"	"2009"	0.82	35
"HEG22"	"2009"	1.17	20
"HEG23"	"2009"	1.24	34
"HEG24"	"2009"	1.22	31
"HEG25"	"2009"	1.23	29
"HEG26"	"2009"	1.02	26
"HEG27"	"2009"	1.66	38
"HEG28"	"2009"	2.25	31
"HEG29"	"2009"	2.25	32
"HEG30"	"2009"	2.48	31
"HEG31"	"2009"	1.6	39
"HEG32"	"2009"	2.07	20
"HEG33"	"2009"	2.23	24
"HEG34"	"2009"	2.12	19
"HEG35"	"2009"	2.1	20
"HEG36"	"2009"	2.01	29
"HEG37"	"2009"	2.09	20
"HEG38"	"2009"	2.27	26
"HEG39"	"2009"	0.46	26
"HEG40"	"2009"	2.23	28
"HEG41"	"2009"	0.74	51
"HEG42"	"2009"	0.72	46
"HEG43"	"2009"	0.81	68
"HEG44"	"2009"	0.64	55
"HEG45"	"2009"	0.9	47
"HEG46"	"2009"	0.85	44
"HEG47"	"2009"	1.5	28
"HEG48"	"2009"	1.02	30
"HEG49"	"2009"	1.02	32
"HEG50"	"2009"	1.28	29
"SEG01"	"2009"	2.29	19
"SEG02"	"2009"	2.33	19
"SEG03"	"2009"	2.25	19
"SEG04"	"2009"	1.02	13
