"richness"	"ratio"
2	100
3	99.9123575810692
4	99.1235758106924
5	97.3707274320771
6	94.478527607362
7	90.8851884312007
8	85.0131463628396
9	77.0376862401402
10	69.3251533742331
11	61.7002629272568
12	51.5337423312883
13	37.7738825591586
14	26.3803680981595
15	16.7397020157756
16	9.29009640666082
17	3.33041191936897
18	0.613496932515337
19	0.0876424189307625
20	0.0876424189307625
21	0
22	0
23	0
24	0
25	0
