"Plot"	"Year"	"LUI"	"rich_26spp"
"AEG27"	"2009"	0.96	8
"AEG28"	"2009"	0.66	14
"AEG29"	"2009"	1.58	18
"AEG30"	"2009"	1.69	10
"AEG31"	"2009"	1.33	18
"AEG32"	"2009"	0.55	13
"AEG33"	"2009"	0.9	12
"AEG34"	"2009"	0.97	14
"AEG35"	"2009"	1.74	16
"AEG36"	"2009"	1.73	18
"AEG37"	"2009"	2.17	13
"AEG38"	"2009"	1.44	16
"AEG39"	"2009"	2.17	14
"AEG40"	"2009"	2.1	15
"AEG41"	"2009"	2.23	13
"AEG42"	"2009"	1.86	14
"AEG43"	"2009"	2.03	14
"AEG44"	"2009"	2.03	17
"AEG45"	"2009"	1.44	14
"AEG46"	"2009"	1.84	16
"AEG47"	"2009"	0.63	9
"AEG48"	"2009"	0.65	5
"AEG49"	"2009"	1.06	13
"AEG50"	"2009"	2.19	13
"HEG01"	"2009"	3.11	9
"HEG02"	"2009"	2.79	5
"HEG03"	"2009"	2.79	12
"HEG04"	"2009"	2.22	12
"HEG05"	"2009"	2.51	0
"HEG06"	"2009"	2.12	12
"HEG07"	"2009"	1.47	12
"HEG08"	"2009"	1.17	14
"HEG09"	"2009"	0.77	16
"HEG10"	"2009"	1.02	15
"HEG11"	"2009"	1.02	14
"HEG12"	"2009"	3.47	12
"HEG13"	"2009"	1.65	11
"HEG14"	"2009"	1.68	16
"HEG15"	"2009"	1.72	16
"HEG16"	"2009"	1.28	17
"HEG17"	"2009"	0.72	17
"HEG18"	"2009"	0.72	15
"HEG19"	"2009"	0.72	15
"HEG20"	"2009"	0.74	13
"HEG21"	"2009"	0.82	13
"HEG22"	"2009"	1.17	12
"HEG23"	"2009"	1.24	12
"HEG24"	"2009"	1.22	15
"HEG25"	"2009"	1.23	12
"HEG26"	"2009"	1.02	13
"HEG27"	"2009"	1.66	17
"HEG28"	"2009"	2.25	14
"HEG29"	"2009"	2.25	13
"HEG30"	"2009"	2.48	13
"HEG31"	"2009"	1.6	15
"HEG32"	"2009"	2.07	9
"HEG33"	"2009"	2.23	14
"HEG34"	"2009"	2.12	9
"HEG35"	"2009"	2.1	11
"HEG36"	"2009"	2.01	12
