"PlotID"	"Year"	"EP_PlotID"	"Useful_EP_PlotID"	"Poa_tri"	"Poa_pra"	"Alo_pra"	"Dac_glo"	"Tri_rep"	"Tar_off"	"Lol_per"	"Arr_ela"	"Fes_rub"	"Fes_pra"	"Tri_fla"	"Ely_rep"	"Tri_pra"	"Ran_rep"	"Bro_ere"	"Ran_acr"	"Bro_hor"	"Pla_lan"	"Ach_mil"	"Ant_syl"	"Her_sph"	"Gal_mol"	"Hol_lan"	"Hel_pub"	"Car_hir"	"Bra_pin"	"rest"
"A19557"	2008	"AEG1"	"AEG01"	0.102739726027397	0.00342465753424658	0	0.0410958904109589	0.00342465753424658	0.102739726027397	0.00342465753424658	0.205479452054795	0	0	0.136986301369863	0	0.0342465753424658	0	0	0.00684931506849315	0.00342465753424658	0.00342465753424658	0	0.136986301369863	0.0684931506849315	0.0410958904109589	0	0.0342465753424658	0	0	0.0719178082191781
"A39275"	2008	"AEG2"	"AEG02"	0.176991150442478	0	0	0.0353982300884956	0.0884955752212389	0.265486725663717	0.0884955752212389	0	0	0	0.176991150442478	0	0	0	0	0	0.00442477876106195	0	0.00884955752212389	0	0	0	0	0	0	0	0.154867256637168
"A48112"	2008	"AEG3"	"AEG03"	0.267558528428094	0	0	0.020066889632107	0.0133779264214047	0.00668896321070234	0.020066889632107	0	0	0.0267558528428094	0.100334448160535	0	0.100334448160535	0	0	0.020066889632107	0	0.100334448160535	0.00334448160535117	0	0.020066889632107	0.0668896321070234	0	0.0133779264214047	0	0	0.220735785953177
"A31160"	2008	"AEG4"	"AEG04"	0.396600566572238	0	0.113314447592068	0.028328611898017	0	0.0056657223796034	0.056657223796034	0.0028328611898017	0	0.056657223796034	0	0	0.0028328611898017	0.169971671388102	0	0	0.0056657223796034	0	0	0.0028328611898017	0.0169971671388102	0	0	0	0	0	0.141643059490085
"A34237"	2008	"AEG5"	"AEG05"	0.274725274725275	0.00274725274725275	0.164835164835165	0.137362637362637	0	0.00549450549450549	0.0164835164835165	0.0274725274725275	0	0	0.274725274725275	0	0	0.00274725274725275	0	0.00274725274725275	0	0	0	0.00274725274725275	0.00274725274725275	0.0549450549450549	0	0	0	0	0.0302197802197802
"A34651"	2008	"AEG6"	"AEG06"	0.0862068965517241	0	0.0862068965517241	0.229885057471264	0	0.0028735632183908	0.0402298850574713	0.172413793103448	0	0.028735632183908	0.172413793103448	0	0.00574712643678161	0	0	0.0028735632183908	0.0172413793103448	0.0028735632183908	0	0.028735632183908	0.0172413793103448	0.0574712643678161	0	0	0	0	0.0488505747126437
"A24854"	2008	"AEG7"	"AEG07"	0	0.00401606425702811	0	0	0	0.00401606425702811	0	0	0	0	0	0	0	0	0.0401606425702811	0	0	0.00803212851405622	0.00401606425702811	0	0	0	0	0	0	0.200803212851406	0.738955823293173
"A42131"	2008	"AEG8"	"AEG08"	0	0.0201342281879195	0	0.0805369127516778	0.0402684563758389	0.0134228187919463	0	0.0134228187919463	0.00671140939597315	0.0268456375838926	0.0134228187919463	0	0.0134228187919463	0.00671140939597315	0.469798657718121	0	0	0.0134228187919463	0.0134228187919463	0	0	0.00671140939597315	0	0.0402684563758389	0	0	0.221476510067114
"A43687"	2008	"AEG9"	"AEG09"	0	0.00431034482758621	0	0	0.00862068965517241	0	0	0	0	0	0	0	0.00431034482758621	0	0.301724137931034	0	0	0.00862068965517241	0.00431034482758621	0	0	0	0	0.00862068965517241	0	0.258620689655172	0.400862068965517
"A2277"	2008	"AEG10"	"AEG10"	0.133779264214047	0.0334448160535117	0	0.020066889632107	0.0334448160535117	0.0535117056856187	0.040133779264214	0.100334448160535	0.167224080267559	0.040133779264214	0.040133779264214	0	0.0535117056856187	0	0	0.020066889632107	0.00334448160535117	0.00668896321070234	0	0	0	0.0668896321070234	0	0.00334448160535117	0	0	0.183946488294314
"A20470"	2008	"AEG11"	"AEG11"	0.402476780185758	0.00309597523219814	0.21671826625387	0.00309597523219814	0	0.00309597523219814	0.00309597523219814	0	0.00309597523219814	0.0309597523219814	0.0743034055727554	0	0	0	0	0.00309597523219814	0	0.0185758513931889	0	0.00309597523219814	0.0309597523219814	0.00309597523219814	0.00619195046439629	0.00309597523219814	0	0	0.191950464396285
"A20771"	2008	"AEG12"	"AEG12"	0.0448179271708683	0.0112044817927171	0.0280112044817927	0.0560224089635854	0.0840336134453782	0.0392156862745098	0.00560224089635854	0.0112044817927171	0	0	0.168067226890756	0	0.252100840336134	0	0	0.0168067226890756	0	0.0112044817927171	0.0392156862745098	0.0840336134453782	0.0224089635854342	0.0448179271708683	0	0.0112044817927171	0	0	0.0700280112044818
"A22610"	2008	"AEG13"	"AEG13"	0.286458333333333	0	0.0520833333333333	0.078125	0.00520833333333333	0.0416666666666667	0.0260416666666667	0.015625	0.0520833333333333	0	0.15625	0	0.0260416666666667	0	0	0.03125	0.078125	0.03125	0	0	0.0260416666666667	0.0208333333333333	0	0	0	0	0.0729166666666667
"A46088"	2008	"AEG14"	"AEG14"	0.144927536231884	0	0	0.0869565217391304	0.144927536231884	0.104347826086957	0.0869565217391304	0	0	0.0289855072463768	0.0289855072463768	0	0.0173913043478261	0	0	0.0289855072463768	0	0.0869565217391304	0.00289855072463768	0.00289855072463768	0.00289855072463768	0.00289855072463768	0	0	0	0	0.228985507246377
"A35767"	2008	"AEG15"	"AEG15"	0.382165605095541	0	0	0.191082802547771	0.0764331210191083	0.0382165605095541	0.0318471337579618	0	0.0127388535031847	0	0.0636942675159236	0	0.0191082802547771	0.0318471337579618	0	0.0127388535031847	0	0.0191082802547771	0	0.00636942675159236	0	0.0127388535031847	0	0	0	0	0.101910828025478
"A36692"	2008	"AEG16"	"AEG16"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
