"Plot"	"Year"	"LUI"	"rich_50spp"
"AEG01"	"2008"	1.74	23
"AEG02"	"2008"	2.74	11
"AEG03"	"2008"	2.22	22
"AEG04"	"2008"	1.71	14
"AEG05"	"2008"	1.88	17
"AEG06"	"2008"	2.86	23
"AEG07"	"2008"	0.47	12
"AEG08"	"2008"	1.36	24
"AEG09"	"2008"	0.56	16
"AEG10"	"2008"	0.99	24
"AEG11"	"2008"	2.01	23
"AEG12"	"2008"	1.74	23
"AEG13"	"2008"	1.74	21
"AEG14"	"2008"	2.23	19
"AEG15"	"2008"	2.63	19
"AEG16"	"2008"	1.88	0
"AEG17"	"2008"	2.33	23
"AEG18"	"2008"	2.44	24
"AEG19"	"2008"	3.27	16
"AEG20"	"2008"	2.03	17
"AEG21"	"2008"	4.57	18
"AEG22"	"2008"	0.99	20
"AEG23"	"2008"	1.4	25
"AEG24"	"2008"	2.36	16
"AEG25"	"2008"	0.67	19
"AEG26"	"2008"	1.45	13
"AEG27"	"2008"	1.34	13
"AEG28"	"2008"	0.7	25
"AEG29"	"2008"	1.42	19
"AEG30"	"2008"	1.01	27
"AEG31"	"2008"	0.7	24
"AEG32"	"2008"	0.58	20
"AEG33"	"2008"	1.63	28
"AEG34"	"2008"	1.03	25
"AEG35"	"2008"	1.74	20
"AEG36"	"2008"	1.74	22
"AEG37"	"2008"	1.74	19
"AEG38"	"2008"	1.4	25
"AEG39"	"2008"	1.74	16
"AEG40"	"2008"	2.06	22
"AEG41"	"2008"	2.3	25
"AEG42"	"2008"	2.42	21
"AEG43"	"2008"	2.13	23
"AEG44"	"2008"	2.06	23
"AEG45"	"2008"	1.4	21
"AEG46"	"2008"	1.53	20
"AEG47"	"2008"	0.58	15
"AEG48"	"2008"	0.72	9
"AEG49"	"2008"	1.12	24
"AEG50"	"2008"	2.24	6
"HEG01"	"2008"	2.72	7
"HEG02"	"2008"	2.19	11
"HEG03"	"2008"	2.19	13
"HEG04"	"2008"	1.97	11
"HEG05"	"2008"	2.24	0
"HEG06"	"2008"	1.88	15
"HEG07"	"2008"	1.64	14
"HEG08"	"2008"	1.64	15
"HEG09"	"2008"	0.77	20
"HEG10"	"2008"	0.99	15
"HEG11"	"2008"	0.99	12
"HEG12"	"2008"	2.29	10
"HEG13"	"2008"	1.84	11
"HEG14"	"2008"	2.68	13
"HEG15"	"2008"	1.79	18
"HEG16"	"2008"	0.96	17
"HEG17"	"2008"	0.63	20
"HEG18"	"2008"	0.84	20
"HEG19"	"2008"	0.63	17
"HEG20"	"2008"	0.67	23
"HEG21"	"2008"	0.53	17
"HEG22"	"2008"	1.53	14
"HEG23"	"2008"	1.57	15
"HEG24"	"2008"	1.66	0
"HEG25"	"2008"	1.81	11
"HEG26"	"2008"	0.99	11
"HEG27"	"2008"	1.68	18
"HEG28"	"2008"	2.21	11
"HEG29"	"2008"	1.55	14
"HEG30"	"2008"	2.33	18
"HEG31"	"2008"	1.87	18
"HEG32"	"2008"	1.84	7
"HEG33"	"2008"	1.98	9
"HEG34"	"2008"	1.88	13
"HEG35"	"2008"	1.9	11
"HEG36"	"2008"	2.06	17
"HEG37"	"2008"	2.08	11
"HEG38"	"2008"	1.49	13
"HEG39"	"2008"	1.67	17
"HEG40"	"2008"	0.59	14
"HEG41"	"2008"	0.67	21
"HEG42"	"2008"	0.63	24
"HEG43"	"2008"	0.85	15
"HEG44"	"2008"	0.96	17
"HEG45"	"2008"	0.38	27
"HEG46"	"2008"	0.42	16
"HEG47"	"2008"	1.35	15
"HEG48"	"2008"	1.76	14
"HEG49"	"2008"	2.66	18
"HEG50"	"2008"	2.6	13
"SEG01"	"2008"	2.45	13
"SEG02"	"2008"	1.88	13
"SEG03"	"2008"	1.91	14
"SEG04"	"2008"	0.99	8
"SEG05"	"2008"	0.99	10
"SEG06"	"2008"	1.12	10
"SEG07"	"2008"	1.99	11
"SEG08"	"2008"	1.4	13
"SEG09"	"2008"	1.36	9
"SEG10"	"2008"	1.91	11
"SEG11"	"2008"	1.91	13
"SEG12"	"2008"	2.45	13
"SEG13"	"2008"	2.23	17
"SEG14"	"2008"	0.99	11
"SEG15"	"2008"	0.99	16
"SEG16"	"2008"	0.99	9
"SEG17"	"2008"	1.23	15
"SEG18"	"2008"	1.4	8
"SEG19"	"2008"	0.99	13
"SEG20"	"2008"	1.17	9
"SEG21"	"2008"	2.08	9
"SEG22"	"2008"	1.11	14
"SEG23"	"2008"	1.4	7
"SEG24"	"2008"	1.4	14
"SEG25"	"2008"	1.4	13
"SEG26"	"2008"	0.99	12
"SEG27"	"2008"	0.99	9
"SEG28"	"2008"	1.4	11
"SEG29"	"2008"	0.99	9
"SEG30"	"2008"	0.99	12
"SEG31"	"2008"	0.99	14
"SEG32"	"2008"	0.99	11
"SEG33"	"2008"	1.38	9
"SEG34"	"2008"	2.42	11
"SEG35"	"2008"	2.42	8
"SEG36"	"2008"	2.02	16
"SEG37"	"2008"	1.3	12
"SEG38"	"2008"	1.92	10
"SEG39"	"2008"	0.99	13
"SEG40"	"2008"	1.77	14
"SEG41"	"2008"	1.83	7
"SEG42"	"2008"	4.23	14
"SEG43"	"2008"	1.65	12
"SEG44"	"2008"	1.56	16
"SEG45"	"2008"	0.92	17
"SEG46"	"2008"	1.18	8
"SEG47"	"2008"	1.21	13
"SEG48"	"2008"	1.36	11
"SEG49"	"2008"	1.61	14
"SEG50"	"2008"	0.81	14
"AEG01"	"2009"	1.78	20
"AEG02"	"2009"	3.37	13
"AEG03"	"2009"	1.96	22
"AEG04"	"2009"	1.56	15
"AEG05"	"2009"	1.66	17
"AEG06"	"2009"	1.91	26
"AEG07"	"2009"	0.58	13
"AEG08"	"2009"	1.46	23
"AEG09"	"2009"	0.51	18
"AEG10"	"2009"	1.02	24
"AEG11"	"2009"	2	21
"AEG12"	"2009"	2.17	19
"AEG13"	"2009"	2.17	20
"AEG14"	"2009"	2.17	19
"AEG15"	"2009"	2.58	18
"AEG16"	"2009"	1.57	22
"AEG17"	"2009"	2.07	26
"AEG18"	"2009"	2.17	20
"AEG19"	"2009"	2.2	20
"AEG20"	"2009"	1.19	19
"AEG21"	"2009"	3.8	19
"AEG22"	"2009"	1.16	24
"AEG23"	"2009"	1.02	21
"AEG24"	"2009"	2.41	18
"AEG25"	"2009"	0.86	19
"AEG26"	"2009"	1.48	14
"AEG27"	"2009"	0.96	14
"AEG28"	"2009"	0.66	25
"AEG29"	"2009"	1.58	27
"AEG30"	"2009"	1.69	19
"AEG31"	"2009"	1.33	27
"AEG32"	"2009"	0.55	18
"AEG33"	"2009"	0.9	23
"AEG34"	"2009"	0.97	22
"AEG35"	"2009"	1.74	21
"AEG36"	"2009"	1.73	23
"AEG37"	"2009"	2.17	17
"AEG38"	"2009"	1.44	25
"AEG39"	"2009"	2.17	15
"AEG40"	"2009"	2.1	23
"AEG41"	"2009"	2.23	21
"AEG42"	"2009"	1.86	18
"AEG43"	"2009"	2.03	17
"AEG44"	"2009"	2.03	21
"AEG45"	"2009"	1.44	20
"AEG46"	"2009"	1.84	22
"AEG47"	"2009"	0.63	15
"AEG48"	"2009"	0.65	11
"AEG49"	"2009"	1.06	24
"AEG50"	"2009"	2.19	15
"HEG01"	"2009"	3.11	11
"HEG02"	"2009"	2.79	9
"HEG03"	"2009"	2.79	14
"HEG04"	"2009"	2.22	13
"HEG05"	"2009"	2.51	0
"HEG06"	"2009"	2.12	18
"HEG07"	"2009"	1.47	17
"HEG08"	"2009"	1.17	19
"HEG09"	"2009"	0.77	28
"HEG10"	"2009"	1.02	19
"HEG11"	"2009"	1.02	18
"HEG12"	"2009"	3.47	15
"HEG13"	"2009"	1.65	15
"HEG14"	"2009"	1.68	20
"HEG15"	"2009"	1.72	21
"HEG16"	"2009"	1.28	24
"HEG17"	"2009"	0.72	30
"HEG18"	"2009"	0.72	25
"HEG19"	"2009"	0.72	23
"HEG20"	"2009"	0.74	23
"HEG21"	"2009"	0.82	22
"HEG22"	"2009"	1.17	16
"HEG23"	"2009"	1.24	18
"HEG24"	"2009"	1.22	18
"HEG25"	"2009"	1.23	16
"HEG26"	"2009"	1.02	18
"HEG27"	"2009"	1.66	23
"HEG28"	"2009"	2.25	19
"HEG29"	"2009"	2.25	19
"HEG30"	"2009"	2.48	20
"HEG31"	"2009"	1.6	20
"HEG32"	"2009"	2.07	13
"HEG33"	"2009"	2.23	17
"HEG34"	"2009"	2.12	14
"HEG35"	"2009"	2.1	12
"HEG36"	"2009"	2.01	18
"HEG37"	"2009"	2.09	14
"HEG38"	"2009"	2.27	18
"HEG39"	"2009"	0.46	19
"HEG40"	"2009"	2.23	19
"HEG41"	"2009"	0.74	24
"HEG42"	"2009"	0.72	26
"HEG43"	"2009"	0.81	28
"HEG44"	"2009"	0.64	27
"HEG45"	"2009"	0.9	32
"HEG46"	"2009"	0.85	22
"HEG47"	"2009"	1.5	20
"HEG48"	"2009"	1.02	17
"HEG49"	"2009"	1.02	20
"HEG50"	"2009"	1.28	19
"SEG01"	"2009"	2.29	13
"SEG02"	"2009"	2.33	15
"SEG03"	"2009"	2.25	16
"SEG04"	"2009"	1.02	9
"SEG05"	"2009"	1.02	11
"SEG06"	"2009"	1.56	10
"SEG07"	"2009"	1.64	0
"SEG08"	"2009"	1.44	16
"SEG09"	"2009"	2	12
"SEG10"	"2009"	2.25	13
"SEG11"	"2009"	2.25	19
"SEG12"	"2009"	2.29	12
"SEG13"	"2009"	1.44	19
"SEG14"	"2009"	1.35	13
"SEG15"	"2009"	1.02	19
"SEG16"	"2009"	1.02	11
"SEG17"	"2009"	1.11	15
"SEG18"	"2009"	1.44	9
"SEG19"	"2009"	1.25	13
"SEG20"	"2009"	1.21	12
"SEG21"	"2009"	1.39	10
"SEG22"	"2009"	1.5	16
"SEG23"	"2009"	1.88	8
"SEG24"	"2009"	1.02	14
"SEG25"	"2009"	1.44	13
"SEG26"	"2009"	1.88	14
"SEG27"	"2009"	1.02	9
"SEG28"	"2009"	1.02	15
"SEG29"	"2009"	1.02	16
"SEG30"	"2009"	1.44	15
"SEG31"	"2009"	1.44	16
"SEG32"	"2009"	1.44	14
"SEG33"	"2009"	1.83	14
"SEG34"	"2009"	1.47	15
"SEG35"	"2009"	1.42	11
"SEG36"	"2009"	1.87	15
"SEG37"	"2009"	1.57	16
"SEG38"	"2009"	1.51	12
"SEG39"	"2009"	1.21	17
"SEG40"	"2009"	2.45	15
"SEG41"	"2009"	1.02	13
"SEG42"	"2009"	2.45	16
"SEG43"	"2009"	3.82	15
"SEG44"	"2009"	1.62	14
"SEG45"	"2009"	1.29	16
"SEG46"	"2009"	1.61	9
"SEG47"	"2009"	1.23	15
"SEG48"	"2009"	2.1	14
"SEG49"	"2009"	1.78	15
"SEG50"	"2009"	1.02	18
"AEG01"	"2010"	2.14	25
"AEG02"	"2010"	3.11	14
"AEG03"	"2010"	1.94	20
"AEG04"	"2010"	1.52	18
"AEG05"	"2010"	1.5	17
"AEG06"	"2010"	1.71	22
"AEG07"	"2010"	0.57	14
"AEG08"	"2010"	1.37	23
"AEG09"	"2010"	0.8	14
"AEG10"	"2010"	0.99	21
"AEG11"	"2010"	2.41	26
"AEG12"	"2010"	2.76	21
"AEG13"	"2010"	2.76	21
"AEG14"	"2010"	2.12	21
"AEG15"	"2010"	2.6	18
"AEG16"	"2010"	1.61	17
"AEG17"	"2010"	2.06	27
"AEG18"	"2010"	2.08	22
"AEG19"	"2010"	1.57	20
"AEG20"	"2010"	1.62	18
"AEG21"	"2010"	3.23	18
"AEG22"	"2010"	2.06	22
"AEG23"	"2010"	0.99	20
"AEG24"	"2010"	2.12	17
"AEG25"	"2010"	1.34	21
"AEG26"	"2010"	1.62	15
"AEG27"	"2010"	1.07	14
"AEG28"	"2010"	0.74	24
"AEG29"	"2010"	1.42	26
"AEG30"	"2010"	2.36	17
"AEG31"	"2010"	1.83	23
"AEG32"	"2010"	0.67	21
"AEG33"	"2010"	1.18	24
"AEG34"	"2010"	0.91	22
"AEG35"	"2010"	1.79	24
"AEG36"	"2010"	2.19	25
"AEG37"	"2010"	1.71	19
"AEG38"	"2010"	1.4	18
"AEG39"	"2010"	1.71	15
"AEG40"	"2010"	2.06	23
"AEG41"	"2010"	2.34	23
"AEG42"	"2010"	2.1	15
"AEG43"	"2010"	1.58	19
"AEG44"	"2010"	1.95	21
"AEG45"	"2010"	1.4	20
"AEG46"	"2010"	1.48	19
"AEG47"	"2010"	0.72	14
"AEG48"	"2010"	0.67	11
"AEG49"	"2010"	0.94	22
"AEG50"	"2010"	2.7	15
"HEG01"	"2010"	2.49	10
"HEG02"	"2010"	2.67	7
"HEG03"	"2010"	2.67	10
"HEG04"	"2010"	2.15	10
"HEG05"	"2010"	2.57	12
"HEG06"	"2010"	2.34	19
"HEG07"	"2010"	0.52	19
